date,r_fighter,b_fighter,winner,weight_class
03/23/2024,Amanda Ribas,Rose Namajunas,Blue,Women's Flyweight
03/23/2024,Karl Williams,Justin Tafa,Red,Heavyweight
03/23/2024,Edmen Shahbazyan,AJ Dobson,Red,Middleweight
03/23/2024,Payton Talbott,Cameron Saaiman,Red,Bantamweight
03/23/2024,Billy Quarantillo,Youssef Zalal,Blue,Featherweight
03/23/2024,Fernando Padilla,Luis Pajuelo,Red,Featherweight
03/23/2024,Kurt Holobaugh,Trey Ogden,Blue,Lightweight
03/23/2024,Ricardo Ramos,Julian Erosa,Blue,Featherweight
03/23/2024,Miles Johns,Cody Gibson,Red,Bantamweight
03/23/2024,Jarno Errens,Steven Nguyen,Red,Featherweight
03/23/2024,Montserrat Rendon,Daria Zhelezniakova,Blue,Women's Bantamweight
03/23/2024,Igor Severino,Andre Lima,Blue,Flyweight
03/23/2024,Mohammed Usman,Mick Parkin,Blue,Heavyweight
03/16/2024,Tai Tuivasa,Marcin Tybura,Blue,Heavyweight
03/16/2024,Ovince Saint Preux,Kennedy Nzechukwu,Red,Light Heavyweight
03/16/2024,Christian Rodriguez,Isaac Dulgarian,Red,Featherweight
03/16/2024,Pannie Kianzad,Macy Chiasson,Blue,Women's Bantamweight
03/16/2024,Gerald Meerschaert,Bryan Barberena,Red,Middleweight
03/16/2024,Natan Levy,Mike Davis,Blue,Lightweight
03/16/2024,Josiane Nunes,Chelsea Chandler,Blue,Women's Bantamweight
03/16/2024,Jafel Filho,Ode Osbourne,Red,Flyweight
03/16/2024,Josh Culibao,Danny Silva,Blue,Featherweight
03/16/2024,Jaqueline Amorim,Cory McKenna,Red,Women's Strawweight
03/16/2024,Thiago Moises,Mitch Ramirez,Red,Lightweight
03/16/2024,Charalampos Grigoriou,Chad Anheliger,Blue,Bantamweight
03/09/2024,Sean O'Malley,Marlon Vera,Red,UFC Bantamweight Title
03/09/2024,Dustin Poirier,Benoit Saint Denis,Red,Lightweight
03/09/2024,Kevin Holland,Michael Page,Blue,Welterweight
03/09/2024,Gilbert Burns,Jack Della Maddalena,Blue,Welterweight
03/09/2024,Petr Yan,Song Yadong,Red,Bantamweight
03/09/2024,Curtis Blaydes,Jailton Almeida,Red,Heavyweight
03/09/2024,Katlyn Cerminara,Maycee Barber,Blue,Women's Flyweight
03/09/2024,Mateusz Gamrot,Rafael Dos Anjos,Red,Lightweight
03/09/2024,Pedro Munhoz,Kyler Phillips,Blue,Bantamweight
03/09/2024,Ion Cutelaba,Philipe Lins,Blue,Light Heavyweight
03/09/2024,Michel Pereira,Michal Oleksiejczuk,Red,Middleweight
03/09/2024,Robelis Despaigne,Josh Parisian,Red,Heavyweight
03/09/2024,CJ Vergara,Asu Almabayev,Blue,Flyweight
03/09/2024,Joanne Wood,Maryna Moroz,Red,Women's Flyweight
03/02/2024,Jairzinho Rozenstruik,Shamil Gaziev,Red,Heavyweight
03/02/2024,Vitor Petrino,Tyson Pedro,Red,Light Heavyweight
03/02/2024,Alex Perez,Muhammad Mokaev,Blue,Flyweight
03/02/2024,Umar Nurmagomedov,Bekzat Almakhan,Red,Bantamweight
03/02/2024,Matt Schnell,Steve Erceg,Blue,Flyweight
03/02/2024,Eryk Anders,Jamie Pickett,Red,Middleweight
03/02/2024,Vinicius Oliveira,Benardo Sopaj,Red,Bantamweight
03/02/2024,Aiemann Zahabi,Javid Basharat,Red,Bantamweight
03/02/2024,Christian Leroy Duncan,Claudio Ribeiro,Red,Middleweight
03/02/2024,Ludovit Klein,AJ Cunningham,Red,Lightweight
03/02/2024,Abdul-Kareem Al-Selwady,Loik Radzhabov,Blue,Lightweight
02/24/2024,Brandon Moreno,Brandon Royval,Blue,Flyweight
02/24/2024,Yair Rodriguez,Brian Ortega,Blue,Featherweight
02/24/2024,Daniel Zellhuber,Francisco Prado,Red,Lightweight
02/24/2024,Yazmin Jauregui,Sam Hughes,Red,Women's Strawweight
02/24/2024,Manuel Torres,Chris Duncan,Red,Lightweight
02/24/2024,Cristian Quinonez,Raoni Barcelos,Blue,Bantamweight
02/24/2024,Jesus Aguilar,Mateus Mendonca,Red,Flyweight
02/24/2024,Edgar Chairez,Daniel Lacerda,Red,Flyweight
02/24/2024,Claudio Puelles,Fares Ziam,Blue,Lightweight
02/24/2024,Ronaldo Rodriguez,Denys Bondar,Red,Flyweight
02/24/2024,Victor Altamirano,Felipe dos Santos,Blue,Flyweight
02/24/2024,Erik Silva,Muhammad Naimov,Blue,Featherweight
