date,r_fighter,b_fighter,winner,weight_class
03/23/2024,Rose Namajunas,Amanda Ribas,Red,Women's Flyweight
03/23/2024,Karl Williams,Justin Tafa,Red,Heavyweight
03/23/2024,Edmen Shahbazyan,AJ Dobson,Red,Middleweight
03/23/2024,Payton Talbott,Cameron Saaiman,Red,Bantamweight
03/23/2024,Youssef Zalal,Billy Quarantillo,Red,Featherweight
03/23/2024,Fernando Padilla,Luis Pajuelo,Red,Featherweight
03/23/2024,Trey Ogden,Kurt Holobaugh,Red,Lightweight
03/23/2024,Julian Erosa,Ricardo Ramos,Red,Featherweight
03/23/2024,Miles Johns,Cody Gibson,Red,Bantamweight
03/23/2024,Jarno Errens,Steven Nguyen,Red,Featherweight
03/23/2024,Daria Zhelezniakova,Montserrat Rendon,Red,Women's Bantamweight
03/23/2024,Andre Lima,Igor Severino,Red,Flyweight
03/23/2024,Mick Parkin,Mohammed Usman,Red,Heavyweight
03/16/2024,Marcin Tybura,Tai Tuivasa,Red,Heavyweight
03/16/2024,Ovince Saint Preux,Kennedy Nzechukwu,Red,Light Heavyweight
03/16/2024,Christian Rodriguez,Isaac Dulgarian,Red,Featherweight
03/16/2024,Macy Chiasson,Pannie Kianzad,Red,Women's Bantamweight
03/16/2024,Gerald Meerschaert,Bryan Barberena,Red,Middleweight
03/16/2024,Mike Davis,Natan Levy,Red,Lightweight
03/16/2024,Chelsea Chandler,Josiane Nunes,Red,Women's Bantamweight
03/16/2024,Jafel Filho,Ode Osbourne,Red,Flyweight
03/16/2024,Danny Silva,Josh Culibao,Red,Featherweight
03/16/2024,Jaqueline Amorim,Cory McKenna,Red,Women's Strawweight
03/16/2024,Thiago Moises,Mitch Ramirez,Red,Lightweight
03/16/2024,Chad Anheliger,Charalampos Grigoriou,Red,Bantamweight
03/09/2024,Sean O'Malley,Marlon Vera,Red,UFC Bantamweight Title
03/09/2024,Dustin Poirier,Benoit Saint Denis,Red,Lightweight
03/09/2024,Michael Page,Kevin Holland,Red,Welterweight
03/09/2024,Jack Della Maddalena,Gilbert Burns,Red,Welterweight
03/09/2024,Petr Yan,Song Yadong,Red,Bantamweight
03/09/2024,Curtis Blaydes,Jailton Almeida,Red,Heavyweight
03/09/2024,Maycee Barber,Katlyn Cerminara,Red,Women's Flyweight
03/09/2024,Mateusz Gamrot,Rafael Dos Anjos,Red,Lightweight
03/09/2024,Kyler Phillips,Pedro Munhoz,Red,Bantamweight
03/09/2024,Philipe Lins,Ion Cutelaba,Red,Light Heavyweight
03/09/2024,Michel Pereira,Michal Oleksiejczuk,Red,Middleweight
03/09/2024,Robelis Despaigne,Josh Parisian,Red,Heavyweight
03/09/2024,Asu Almabayev,CJ Vergara,Red,Flyweight
03/09/2024,Joanne Wood,Maryna Moroz,Red,Women's Flyweight
03/02/2024,Jairzinho Rozenstruik,Shamil Gaziev,Red,Heavyweight
03/02/2024,Vitor Petrino,Tyson Pedro,Red,Light Heavyweight
03/02/2024,Muhammad Mokaev,Alex Perez,Red,Flyweight
03/02/2024,Umar Nurmagomedov,Bekzat Almakhan,Red,Bantamweight
03/02/2024,Steve Erceg,Matt Schnell,Red,Flyweight
03/02/2024,Eryk Anders,Jamie Pickett,Red,Middleweight
03/02/2024,Vinicius Oliveira,Benardo Sopaj,Red,Bantamweight
03/02/2024,Aiemann Zahabi,Javid Basharat,Red,Bantamweight
03/02/2024,Christian Leroy Duncan,Claudio Ribeiro,Red,Middleweight
03/02/2024,Ludovit Klein,AJ Cunningham,Red,Lightweight
