date,r_fighter,b_fighter,winner,weight_class
03/23/2024,Amanda Ribas,Rose Namajunas,Blue,Women's Flyweight
03/23/2024,Justin Tafa,Karl Williams,Blue,Heavyweight
03/23/2024,Edmen Shahbazyan,AJ Dobson,Red,Middleweight
03/23/2024,Payton Talbott,Cameron Saaiman,Red,Bantamweight
03/23/2024,Youssef Zalal,Billy Quarantillo,Red,Featherweight
03/23/2024,Fernando Padilla,Luis Pajuelo,Red,Featherweight
03/23/2024,Kurt Holobaugh,Trey Ogden,Blue,Lightweight
03/23/2024,Julian Erosa,Ricardo Ramos,Red,Featherweight
03/23/2024,Cody Gibson,Miles Johns,Blue,Bantamweight
03/23/2024,Jarno Errens,Steven Nguyen,Red,Featherweight
03/23/2024,Daria Zhelezniakova,Montserrat Rendon,Red,Women's Bantamweight
03/23/2024,Igor Severino,Andre Lima,Blue,Flyweight
03/23/2024,Mohammed Usman,Mick Parkin,Blue,Heavyweight
03/16/2024,Marcin Tybura,Tai Tuivasa,Red,Heavyweight
03/16/2024,Ovince Saint Preux,Kennedy Nzechukwu,Red,Light Heavyweight
03/16/2024,Isaac Dulgarian,Christian Rodriguez,Blue,Featherweight
03/16/2024,Pannie Kianzad,Macy Chiasson,Blue,Women's Bantamweight
03/16/2024,Gerald Meerschaert,Bryan Barberena,Red,Middleweight
03/16/2024,Natan Levy,Mike Davis,Blue,Lightweight
03/16/2024,Chelsea Chandler,Josiane Nunes,Red,Women's Bantamweight
03/16/2024,Jafel Filho,Ode Osbourne,Red,Flyweight
03/16/2024,Josh Culibao,Danny Silva,Blue,Featherweight
03/16/2024,Jaqueline Amorim,Cory McKenna,Red,Women's Strawweight
03/16/2024,Mitch Ramirez,Thiago Moises,Blue,Lightweight
03/16/2024,Chad Anheliger,Charalampos Grigoriou,Red,Bantamweight
03/09/2024,Sean O'Malley,Marlon Vera,Red,UFC Bantamweight Title
03/09/2024,Dustin Poirier,Benoit Saint Denis,Red,Lightweight
03/09/2024,Kevin Holland,Michael Page,Blue,Welterweight
03/09/2024,Jack Della Maddalena,Gilbert Burns,Red,Welterweight
03/09/2024,Song Yadong,Petr Yan,Blue,Bantamweight
03/09/2024,Curtis Blaydes,Jailton Almeida,Red,Heavyweight
03/09/2024,Maycee Barber,Katlyn Cerminara,Red,Women's Flyweight
03/09/2024,Rafael Dos Anjos,Mateusz Gamrot,Blue,Lightweight
03/09/2024,Pedro Munhoz,Kyler Phillips,Blue,Bantamweight
03/09/2024,Philipe Lins,Ion Cutelaba,Red,Light Heavyweight
03/09/2024,Michal Oleksiejczuk,Michel Pereira,Blue,Middleweight
03/09/2024,Josh Parisian,Robelis Despaigne,Blue,Heavyweight
03/09/2024,CJ Vergara,Asu Almabayev,Blue,Flyweight
