date,r_fighter,b_fighter,weight_class,,,,,,,,,,,,,,,
3/23/2024,Rose Namajunas,Amanda Ribas,Women's Flyweight,,,,,,,,,,,,,,,
3/23/2024,Karl Williams,Justin Tafa,Heavyweight,,,,,,,,,,,,,,,
3/23/2024,Edmen Shahbazyan,AJ Dobson,Middleweight,,,,,,,,,,,,,,,
3/23/2024,Payton Talbott,Cameron Saaiman,Bantamweight,,,,,,,,,,,,,,,
3/23/2024,Youssef Zalal,Billy Quarantillo,Featherweight,,,,,,,,,,,,,,,
3/23/2024,Fernando Padilla,Luis Pajuelo,Featherweight,,,,,,,,,,,,,,,
3/23/2024,Trey Ogden,Kurt Holobaugh,Lightweight,,,,,,,,,,,,,,,
3/23/2024,Julian Erosa,Ricardo Ramos,Featherweight,,,,,,,,,,,,,,,
3/23/2024,Miles Johns,Cody Gibson,Bantamweight,,,,,,,,,,,,,,,
3/23/2024,Jarno Errens,Steven Nguyen,Featherweight,,,,,,,,,,,,,,,
3/23/2024,Daria Zhelezniakova,Montserrat Rendon,Women's Bantamweight,,,,,,,,,,,,,,,
3/23/2024,Andre Lima,Igor Severino,Flyweight,,,,,,,,,,,,,,,
3/23/2024,Mick Parkin,Mohammed Usman,Heavyweight,,,,,,,,,,,,,,,
3/16/2024,Marcin Tybura,Tai Tuivasa,Heavyweight,,,,,,,,,,,,,,,
3/16/2024,Ovince Saint Preux,Kennedy Nzechukwu,Light Heavyweight,,,,,,,,,,,,,,,
3/16/2024,Christian Rodriguez,Isaac Dulgarian,Featherweight,,,,,,,,,,,,,,,
3/16/2024,Macy Chiasson,Pannie Kianzad,Women's Bantamweight,,,,,,,,,,,,,,,
3/16/2024,Gerald Meerschaert,Bryan Barberena,Middleweight,,,,,,,,,,,,,,,
3/16/2024,Mike Davis,Natan Levy,Lightweight,,,,,,,,,,,,,,,
3/16/2024,Chelsea Chandler,Josiane Nunes,Women's Bantamweight,,,,,,,,,,,,,,,
3/16/2024,Jafel Filho,Ode Osbourne,Flyweight,,,,,,,,,,,,,,,
3/16/2024,Danny Silva,Josh Culibao,Featherweight,,,,,,,,,,,,,,,
3/16/2024,Jaqueline Amorim,Cory McKenna,Women's Strawweight,,,,,,,,,,,,,,,
3/16/2024,Thiago Moises,Mitch Ramirez,Lightweight,,,,,,,,,,,,,,,
3/16/2024,Chad Anheliger,Charalampos Grigoriou,Bantamweight,,,,,,,,,,,,,,,
3/9/2024,Sean O'Malley,Marlon Vera,Bantamweight,,,,,,,,,,,,,,,
3/9/2024,Dustin Poirier,Benoit Saint Denis,Lightweight,,,,,,,,,,,,,,,
3/9/2024,Michael Page,Kevin Holland,Welterweight,,,,,,,,,,,,,,,
3/9/2024,Jack Della Maddalena,Gilbert Burns,Welterweight,,,,,,,,,,,,,,,
3/9/2024,Petr Yan,Song Yadong,Bantamweight,,,,,,,,,,,,,,,
3/9/2024,Curtis Blaydes,Jailton Almeida,Heavyweight,,,,,,,,,,,,,,,
3/9/2024,Maycee Barber,Katlyn Cerminara,Women's Flyweight,,,,,,,,,,,,,,,
3/9/2024,Mateusz Gamrot,Rafael Dos Anjos,Lightweight,,,,,,,,,,,,,,,
3/9/2024,Kyler Phillips,Pedro Munhoz,Bantamweight,,,,,,,,,,,,,,,
3/9/2024,Philipe Lins,Ion Cutelaba,Light Heavyweight,,,,,,,,,,,,,,,
3/9/2024,Michel Pereira,Michal Oleksiejczuk,Middleweight,,,,,,,,,,,,,,,
3/9/2024,Robelis Despaigne,Josh Parisian,Heavyweight,,,,,,,,,,,,,,,
3/9/2024,Asu Almabayev,CJ Vergara,Flyweight,,,,,,,,,,,,,,,
3/9/2024,Joanne Wood,Maryna Moroz,Women's Flyweight,,,,,,,,,,,,,,,
3/2/2024,Jairzinho Rozenstruik,Shamil Gaziev,Heavyweight,,,,,,,,,,,,,,,
3/2/2024,Vitor Petrino,Tyson Pedro,Light Heavyweight,,,,,,,,,,,,,,,
3/2/2024,Muhammad Mokaev,Alex Perez,Flyweight,,,,,,,,,,,,,,,
3/2/2024,Umar Nurmagomedov,Bekzat Almakhan,Bantamweight,,,,,,,,,,,,,,,
3/2/2024,Steve Erceg,Matt Schnell,Flyweight,,,,,,,,,,,,,,,
3/2/2024,Eryk Anders,Jamie Pickett,Middleweight,,,,,,,,,,,,,,,
3/2/2024,Vinicius Oliveira,Benardo Sopaj,Bantamweight,,,,,,,,,,,,,,,
3/2/2024,Aiemann Zahabi,Javid Basharat,Bantamweight,,,,,,,,,,,,,,,
3/2/2024,Christian Leroy Duncan,Claudio Ribeiro,Middleweight,,,,,,,,,,,,,,,
3/2/2024,Ludovit Klein,AJ Cunningham,Lightweight,,,,,,,,,,,,,,,
3/2/2024,Loik Radzhabov,Abdul-Kareem Al-Selwady,Lightweight,,,,,,,,,,,,,,,
2/24/2024,Brandon Royval,Brandon Moreno,Flyweight,,,,,,,,,,,,,,,
2/24/2024,Brian Ortega,Yair Rodriguez,Featherweight,,,,,,,,,,,,,,,
2/24/2024,Daniel Zellhuber,Francisco Prado,Lightweight,,,,,,,,,,,,,,,
2/24/2024,Yazmin Jauregui,Sam Hughes,Women's Strawweight,,,,,,,,,,,,,,,
2/24/2024,Manuel Torres,Chris Duncan,Lightweight,,,,,,,,,,,,,,,
2/24/2024,Raoni Barcelos,Cristian Quinonez,Bantamweight,,,,,,,,,,,,,,,
2/24/2024,Jesus Aguilar,Mateus Mendonca,Flyweight,,,,,,,,,,,,,,,
2/24/2024,Edgar Chairez,Daniel Lacerda,Flyweight,,,,,,,,,,,,,,,
2/24/2024,Fares Ziam,Claudio Puelles,Lightweight,,,,,,,,,,,,,,,
2/24/2024,Ronaldo Rodriguez,Denys Bondar,Flyweight,,,,,,,,,,,,,,,
2/24/2024,Felipe dos Santos,Victor Altamirano,Flyweight,,,,,,,,,,,,,,,
2/24/2024,Muhammad Naimov,Erik Silva,Featherweight,,,,,,,,,,,,,,,
2/17/2024,Ilia Topuria,Alexander Volkanovski,Featherweight,,,,,,,,,,,,,,,
2/17/2024,Robert Whittaker,Paulo Costa,Middleweight,,,,,,,,,,,,,,,
2/17/2024,Ian Machado Garry,Geoff Neal,Welterweight,,,,,,,,,,,,,,,
2/17/2024,Merab Dvalishvili,Henry Cejudo,Bantamweight,,,,,,,,,,,,,,,
2/17/2024,Anthony Hernandez,Roman Kopylov,Middleweight,,,,,,,,,,,,,,,
2/17/2024,Amanda Lemos,Mackenzie Dern,Women's Strawweight,,,,,,,,,,,,,,,
2/17/2024,Marcos Rogerio de Lima,Junior Tafa,Heavyweight,,,,,,,,,,,,,,,
2/17/2024,Rinya Nakamura,Carlos Vera,Bantamweight,,,,,,,,,,,,,,,
2/17/2024,Zhang Mingyang,Brendson Ribeiro,Light Heavyweight,,,,,,,,,,,,,,,
2/17/2024,Danny Barlow,Josh Quinlan,Welterweight,,,,,,,,,,,,,,,
2/17/2024,Oban Elliott,Val Woodburn,Welterweight,,,,,,,,,,,,,,,
2/17/2024,Miranda Maverick,Andrea Lee,Women's Flyweight,,,,,,,,,,,,,,,
2/10/2024,Jack Hermansson,Joe Pyfer,Middleweight,,,,,,,,,,,,,,,
2/10/2024,Dan Ige,Andre Fili,Featherweight,,,,,,,,,,,,,,,
2/10/2024,Ihor Potieria,Robert Bryczek,Middleweight,,,,,,,,,,,,,,,
2/10/2024,Gregory Rodrigues,Brad Tavares,Middleweight,,,,,,,,,,,,,,,
2/10/2024,Michael Johnson,Darrius Flowers,Lightweight,,,,,,,,,,,,,,,
2/10/2024,Rodolfo Vieira,Armen Petrosyan,Middleweight,,,,,,,,,,,,,,,
2/10/2024,Carlos Prates,Trevin Giles,Welterweight,,,,,,,,,,,,,,,
2/10/2024,Bolaji Oki,Timmy Cuamba,Lightweight,,,,,,,,,,,,,,,
2/10/2024,Loma Lookboonmee,Bruna Brasil,Women's Strawweight,,,,,,,,,,,,,,,
2/10/2024,Marcin Prachnio,Devin Clark,Light Heavyweight,,,,,,,,,,,,,,,
2/10/2024,Max Griffin,Jeremiah Wells,Welterweight,,,,,,,,,,,,,,,
2/10/2024,Bogdan Guskov,Zac Pauga,Light Heavyweight,,,,,,,,,,,,,,,
2/10/2024,Hyder Amil,Fernie Garcia,Featherweight,,,,,,,,,,,,,,,
2/3/2024,Nassourdine Imavov,Roman Dolidze,Middleweight,,,,,,,,,,,,,,,
2/3/2024,Renato Moicano,Drew Dober,Lightweight,,,,,,,,,,,,,,,
2/3/2024,Randy Brown,Muslim Salikhov,Welterweight,,,,,,,,,,,,,,,
2/3/2024,Natalia Silva,Viviane Araujo,Women's Flyweight,,,,,,,,,,,,,,,
2/3/2024,Charles Radtke,Gilbert Urbina,Welterweight,,,,,,,,,,,,,,,
2/3/2024,Molly McCann,Diana Belbita,Women's Strawweight,,,,,,,,,,,,,,,
2/3/2024,Charles Johnson,Azat Maksum,Flyweight,,,,,,,,,,,,,,,
2/3/2024,Themba Gorimbo,Pete Rodriguez,Welterweight,,,,,,,,,,,,,,,
2/3/2024,JeongYeong Lee,Blake Bilder,Featherweight,,,,,,,,,,,,,,,
2/3/2024,Luana Carolina,Julija Stoliarenko,Women's Flyweight,,,,,,,,,,,,,,,
2/3/2024,MarQuel Mederos,Landon Quinones,Lightweight,,,,,,,,,,,,,,,
2/3/2024,Jamal Pogues,Thomas Petersen,Heavyweight,,,,,,,,,,,,,,,
1/20/2024,Dricus Du Plessis,Sean Strickland,Middleweight,,,,,,,,,,,,,,,
1/20/2024,Raquel Pennington,Mayra Bueno Silva,Women's Bantamweight,,,,,,,,,,,,,,,
1/20/2024,Neil Magny,Mike Malott,Welterweight,,,,,,,,,,,,,,,
1/20/2024,Chris Curtis,Marc-Andre Barriault,Middleweight,,,,,,,,,,,,,,,
1/20/2024,Movsar Evloev,Arnold Allen,Featherweight,,,,,,,,,,,,,,,
1/20/2024,Garrett Armfield,Brad Katona,Bantamweight,,,,,,,,,,,,,,,
1/20/2024,Sean Woodson,Charles Jourdain,Featherweight,,,,,,,,,,,,,,,
1/20/2024,Ramon Taveras,Serhiy Sidey,Bantamweight,,,,,,,,,,,,,,,
1/20/2024,Gillian Robertson,Polyana Viana,Women's Strawweight,,,,,,,,,,,,,,,
1/20/2024,Sam Patterson,Yohan Lainesse,Welterweight,,,,,,,,,,,,,,,
1/20/2024,Jasmine Jasudavicius,Priscila Cachoeira,Women's Bantamweight,,,,,,,,,,,,,,,
1/20/2024,Jimmy Flick,Malcolm Gordon,Flyweight,,,,,,,,,,,,,,,
1/13/2024,Magomed Ankalaev,Johnny Walker,Light Heavyweight,,,,,,,,,,,,,,,
1/13/2024,Jim Miller,Gabriel Benitez,Lightweight,,,,,,,,,,,,,,,
1/13/2024,Mario Bautista,Ricky Simon,Bantamweight,,,,,,,,,,,,,,,
1/13/2024,Brunno Ferreira,Phil Hawes,Middleweight,,,,,,,,,,,,,,,
1/13/2024,Waldo Cortes-Acosta,Andrei Arlovski,Heavyweight,,,,,,,,,,,,,,,
1/13/2024,Preston Parsons,Matthew Semelsberger,Welterweight,,,,,,,,,,,,,,,
1/13/2024,Marcus McGhee,Gaston Bolanos,Bantamweight,,,,,,,,,,,,,,,
1/13/2024,Farid Basharat,Taylor Lapilus,Bantamweight,,,,,,,,,,,,,,,
1/13/2024,Jean Silva,Westin Wilson,Featherweight,,,,,,,,,,,,,,,
1/13/2024,Nikolas Motta,Tom Nolan,Lightweight,,,,,,,,,,,,,,,
1/13/2024,Joshua Van,Felipe Bunes,Flyweight,,,,,,,,,,,,,,,
12/16/2023,Leon Edwards,Colby Covington,Welterweight,,,,,,,,,,,,,,,
12/16/2023,Alexandre Pantoja,Brandon Royval,Flyweight,,,,,,,,,,,,,,,
12/16/2023,Shavkat Rakhmonov,Stephen Thompson,Welterweight,,,,,,,,,,,,,,,
12/16/2023,Paddy Pimblett,Tony Ferguson,Lightweight,,,,,,,,,,,,,,,
12/16/2023,Josh Emmett,Bryce Mitchell,Featherweight,,,,,,,,,,,,,,,
12/16/2023,Alonzo Menifield,Dustin Jacoby,Light Heavyweight,,,,,,,,,,,,,,,
12/16/2023,Irene Aldana,Karol Rosa,Women's Bantamweight,,,,,,,,,,,,,,,
12/16/2023,Cody Garbrandt,Brian Kelleher,Bantamweight,,,,,,,,,,,,,,,
12/16/2023,Ariane Lipski,Casey O'Neill,Women's Flyweight,,,,,,,,,,,,,,,
12/16/2023,Tagir Ulanbekov,Cody Durden,Flyweight,,,,,,,,,,,,,,,
12/16/2023,Andre Fili,Lucas Almeida,Featherweight,,,,,,,,,,,,,,,
12/16/2023,Shamil Gaziev,Martin Buday,Heavyweight,,,,,,,,,,,,,,,
12/9/2023,Song Yadong,Chris Gutierrez,Bantamweight,,,,,,,,,,,,,,,
12/9/2023,Khalil Rountree Jr.,Anthony Smith,Light Heavyweight,,,,,,,,,,,,,,,
12/9/2023,Nasrat Haqparast,Jamie Mullarkey,Lightweight,,,,,,,,,,,,,,,
12/9/2023,Tim Elliott,Sumudaerji,Bantamweight,,,,,,,,,,,,,,,
12/9/2023,Andre Muniz,JunYong Park,Middleweight,,,,,,,,,,,,,,,
12/9/2023,Kevin Jousset,Song Kenan,Welterweight,,,,,,,,,,,,,,,
12/9/2023,HyunSung Park,Shannon Ross,Flyweight,,,,,,,,,,,,,,,
12/9/2023,Steve Garcia,Melquizael Costa,Lightweight,,,,,,,,,,,,,,,
12/9/2023,Luana Santos,Stephanie Egger,Women's Bantamweight,,,,,,,,,,,,,,,
12/9/2023,Tatsuro Taira,Carlos Hernandez,Flyweight,,,,,,,,,,,,,,,
12/9/2023,Talita Alencar,Rayanne Amanda,Women's Strawweight,,,,,,,,,,,,,,,
12/2/2023,Arman Tsarukyan,Beneil Dariush,Lightweight,,,,,,,,,,,,,,,
12/2/2023,Jalin Turner,Bobby Green,Lightweight,,,,,,,,,,,,,,,
12/2/2023,Deiveson Figueiredo,Rob Font,Bantamweight,,,,,,,,,,,,,,,
12/2/2023,Sean Brady,Kelvin Gastelum,Welterweight,,,,,,,,,,,,,,,
12/2/2023,Joaquim Silva,Clay Guida,Lightweight,,,,,,,,,,,,,,,
12/2/2023,Dustin Stoltzfus,Punahele Soriano,Middleweight,,,,,,,,,,,,,,,
