name,height,weight,reach,stance
Amanda Ribas,160.02,56.7,167.64,Orthodox
Rose Namajunas,165.1,56.7,165.1,Orthodox
Karl Williams,190.5,106.59,200.66,Orthodox
Justin Tafa,182.88,119.75,187.96,Southpaw
Edmen Shahbazyan,187.96,83.91,190.5,Orthodox
AJ Dobson,185.42,83.91,193.04,Orthodox
Payton Talbott,177.8,61.23,177.8,Switch
Cameron Saaiman,172.72,61.23,170.18,Southpaw
Billy Quarantillo,177.8,65.77,177.8,Orthodox
Youssef Zalal,177.8,65.77,182.88,Switch
Fernando Padilla,185.42,65.77,193.04,Orthodox
Luis Pajuelo,177.8,65.77,175.26,Orthodox
Kurt Holobaugh,180.34,70.31,177.8,Orthodox
Trey Ogden,180.34,70.31,182.88,Orthodox
Ricardo Ramos,175.26,65.77,182.88,Orthodox
Julian Erosa,185.42,65.77,187.96,Southpaw
Miles Johns,170.18,61.23,167.64,Orthodox
Cody Gibson,177.8,61.23,180.34,Orthodox
Jarno Errens,180.34,65.77,185.42,Orthodox
Steven Nguyen,180.34,65.77,185.42,Switch
Montserrat Rendon,172.72,61.23,172.72,Orthodox
Daria Zhelezniakova,175.26,61.23,172.72,
Igor Severino,170.18,56.7,175.26,Orthodox
Andre Lima,170.18,56.7,170.18,Orthodox
Mohammed Usman,187.96,108.41,200.66,Orthodox
Mick Parkin,193.04,120.2,200.66,Orthodox
Tai Tuivasa,187.96,119.75,190.5,Southpaw
Marcin Tybura,190.5,112.94,198.12,Orthodox
Ovince Saint Preux,190.5,92.99,203.2,Southpaw
Kennedy Nzechukwu,195.58,92.99,210.82,Southpaw
Christian Rodriguez,170.18,65.77,180.34,Orthodox
Isaac Dulgarian,170.18,65.77,180.34,Orthodox
Pannie Kianzad,170.18,61.23,167.64,Orthodox
Macy Chiasson,180.34,61.23,182.88,Orthodox
Gerald Meerschaert,185.42,83.91,195.58,Southpaw
Bryan Barberena,182.88,83.91,182.88,Southpaw
Natan Levy,175.26,70.31,180.34,Southpaw
Mike Davis,182.88,70.31,182.88,Orthodox
Josiane Nunes,157.48,61.23,170.18,Southpaw
Chelsea Chandler,172.72,61.23,172.72,Southpaw
Jafel Filho,170.18,56.7,172.72,Orthodox
Ode Osbourne,170.18,56.7,185.42,Southpaw
Josh Culibao,177.8,65.77,185.42,Orthodox
Danny Silva,180.34,65.77,177.8,Switch
Jaqueline Amorim,160.02,52.16,172.72,Orthodox
Cory McKenna,160.02,52.16,147.32,Orthodox
Thiago Moises,175.26,70.31,177.8,Orthodox
Mitch Ramirez,180.34,70.31,180.34,Orthodox
Charalampos Grigoriou,170.18,61.23,170.18,Orthodox
Chad Anheliger,167.64,61.23,162.56,Orthodox
Sean O'Malley,180.34,61.23,182.88,Switch
Marlon Vera,172.72,61.23,177.8,Switch
Dustin Poirier,175.26,70.31,182.88,Southpaw
Benoit Saint Denis,180.34,70.31,185.42,Southpaw
Kevin Holland,190.5,77.11,205.74,Orthodox
Michael Page,190.5,77.11,200.66,Switch
Gilbert Burns,177.8,77.11,180.34,Orthodox
Jack Della Maddalena,180.34,77.11,185.42,Switch
Petr Yan,170.18,61.23,170.18,Switch
Song Yadong,172.72,61.23,170.18,Orthodox
Curtis Blaydes,193.04,120.2,203.2,Orthodox
Jailton Almeida,190.5,92.99,200.66,Orthodox
Katlyn Cerminara,175.26,56.7,172.72,Orthodox
Maycee Barber,165.1,56.7,165.1,Switch
Mateusz Gamrot,177.8,70.31,177.8,Southpaw
Rafael Dos Anjos,172.72,70.31,177.8,Southpaw
Pedro Munhoz,167.64,61.23,165.1,Orthodox
Kyler Phillips,172.72,61.23,182.88,Orthodox
Ion Cutelaba,185.42,92.99,190.5,Southpaw
Philipe Lins,187.96,92.99,198.12,Orthodox
Michel Pereira,185.42,83.91,185.42,Orthodox
Michal Oleksiejczuk,182.88,83.91,187.96,Southpaw
Robelis Despaigne,200.66,120.2,213.36,Orthodox
Josh Parisian,193.04,120.2,200.66,Orthodox
CJ Vergara,167.64,56.7,172.72,Orthodox
Asu Almabayev,162.56,56.7,165.1,Orthodox
Joanne Wood,167.64,56.7,165.1,Orthodox
Maryna Moroz,170.18,56.7,170.18,Orthodox
Jairzinho Rozenstruik,187.96,109.77,198.12,Orthodox
Shamil Gaziev,193.04,120.2,198.12,Orthodox
Vitor Petrino,187.96,92.99,195.58,Orthodox
Tyson Pedro,190.5,92.99,200.66,Orthodox
Alex Perez,167.64,56.7,165.1,Orthodox
Muhammad Mokaev,170.18,56.7,177.8,Orthodox
Umar Nurmagomedov,172.72,61.23,175.26,Orthodox
Bekzat Almakhan,170.18,61.23,172.72,Orthodox
Matt Schnell,172.72,56.7,177.8,Orthodox
Steve Erceg,172.72,56.7,172.72,Orthodox
Eryk Anders,185.42,83.91,190.5,Southpaw
Jamie Pickett,187.96,83.91,203.2,Orthodox
Vinicius Oliveira,175.26,61.23,177.8,Switch
Benardo Sopaj,167.64,61.23,167.64,Orthodox
Aiemann Zahabi,172.72,61.23,172.72,Orthodox
Javid Basharat,175.26,61.23,175.26,Orthodox
Christian Leroy Duncan,187.96,83.91,200.66,Switch
Claudio Ribeiro,185.42,83.91,195.58,Orthodox
Ludovit Klein,170.18,70.31,182.88,Southpaw
AJ Cunningham,177.8,70.31,180.34,Orthodox
Abdul-Kareem Al-Selwady,172.72,70.31,175.26,Orthodox
Loik Radzhabov,180.34,70.31,175.26,Orthodox
Brandon Moreno,170.18,56.7,177.8,Orthodox
Brandon Royval,175.26,56.7,172.72,Southpaw
