name,height,weight,reach,stance
Amanda Ribas,160.02,56.7,167.64,1
Rose Namajunas,165.1,56.7,165.1,1
Karl Williams,190.5,106.59,200.66,1
Justin Tafa,182.88,119.75,187.96,3
Edmen Shahbazyan,187.96,83.91,190.5,1
AJ Dobson,185.42,83.91,193.04,1
Payton Talbott,177.8,61.23,177.8,4
Cameron Saaiman,172.72,61.23,170.18,3
Billy Quarantillo,177.8,65.77,177.8,1
Youssef Zalal,177.8,65.77,182.88,4
Fernando Padilla,185.42,65.77,193.04,1
Luis Pajuelo,177.8,65.77,175.26,1
Kurt Holobaugh,180.34,70.31,177.8,1
Trey Ogden,180.34,70.31,182.88,1
Ricardo Ramos,175.26,65.77,182.88,1
Julian Erosa,185.42,65.77,187.96,3
Miles Johns,170.18,61.23,167.64,1
Cody Gibson,177.8,61.23,180.34,1
Jarno Errens,180.34,65.77,185.42,1
Steven Nguyen,180.34,65.77,185.42,4
Montserrat Rendon,172.72,61.23,172.72,1
Daria Zhelezniakova,175.26,61.23,172.72,1
Igor Severino,170.18,56.7,175.26,1
Andre Lima,170.18,56.7,170.18,1
Mohammed Usman,187.96,108.41,200.66,1
Mick Parkin,193.04,120.2,200.66,1
Tai Tuivasa,187.96,119.75,190.5,3
Marcin Tybura,190.5,112.94,198.12,1
Ovince Saint Preux,190.5,92.99,203.2,3
Kennedy Nzechukwu,195.58,92.99,210.82,3
Christian Rodriguez,170.18,65.77,180.34,1
Isaac Dulgarian,170.18,65.77,180.34,1
Pannie Kianzad,170.18,61.23,167.64,1
Macy Chiasson,180.34,61.23,182.88,1
Gerald Meerschaert,185.42,83.91,195.58,3
Bryan Barberena,182.88,83.91,182.88,3
Natan Levy,175.26,70.31,180.34,3
Mike Davis,182.88,70.31,182.88,1
Josiane Nunes,157.48,61.23,170.18,3
Chelsea Chandler,172.72,61.23,172.72,3
Jafel Filho,170.18,56.7,172.72,1
Ode Osbourne,170.18,56.7,185.42,3
Josh Culibao,177.8,65.77,185.42,1
Danny Silva,180.34,65.77,177.8,4
Jaqueline Amorim,160.02,52.16,172.72,1
Cory McKenna,160.02,52.16,147.32,1
Thiago Moises,175.26,70.31,177.8,1
Mitch Ramirez,180.34,70.31,180.34,1
Charalampos Grigoriou,170.18,61.23,170.18,1
Chad Anheliger,167.64,61.23,162.56,1
Sean O'Malley,180.34,61.23,182.88,4
Marlon Vera,172.72,61.23,177.8,4
Dustin Poirier,175.26,70.31,182.88,3
Benoit Saint Denis,180.34,70.31,185.42,3
Kevin Holland,190.5,77.11,205.74,1
Michael Page,190.5,77.11,200.66,4
Gilbert Burns,177.8,77.11,180.34,1
Jack Della Maddalena,180.34,77.11,185.42,4
Petr Yan,170.18,61.23,170.18,4
Song Yadong,172.72,61.23,170.18,1
Curtis Blaydes,193.04,120.2,203.2,1
Jailton Almeida,190.5,92.99,200.66,1
Katlyn Cerminara,175.26,56.7,172.72,1
Maycee Barber,165.1,56.7,165.1,4
Mateusz Gamrot,177.8,70.31,177.8,3
Rafael Dos Anjos,172.72,70.31,177.8,3
Pedro Munhoz,167.64,61.23,165.1,1
Kyler Phillips,172.72,61.23,182.88,1
Ion Cutelaba,185.42,92.99,190.5,3
Philipe Lins,187.96,92.99,198.12,1
Michel Pereira,185.42,83.91,185.42,1
Michal Oleksiejczuk,182.88,83.91,187.96,3
Robelis Despaigne,200.66,120.2,213.36,1
Josh Parisian,193.04,120.2,200.66,1
CJ Vergara,167.64,56.7,172.72,1
Asu Almabayev,162.56,56.7,165.1,1
Joanne Wood,167.64,56.7,165.1,1
Maryna Moroz,170.18,56.7,170.18,1
Jairzinho Rozenstruik,187.96,109.77,198.12,1
Shamil Gaziev,193.04,120.2,198.12,1
Vitor Petrino,187.96,92.99,195.58,1
Tyson Pedro,190.5,92.99,200.66,1
Alex Perez,167.64,56.7,165.1,1
Muhammad Mokaev,170.18,56.7,177.8,1
Umar Nurmagomedov,172.72,61.23,175.26,1
Bekzat Almakhan,170.18,61.23,172.72,1
Matt Schnell,172.72,56.7,177.8,1
Steve Erceg,172.72,56.7,172.72,1
