event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Smith vs. Clark,Josh Parisian,Parker Porter,Blue,Heavyweight,0,Men,Decision - Unanimous,3,3.0,300,Mark Smith,0,114,226,0.5,123,237,0.52,0,0,0.0,0,0,28,15,8,34.0,193.04,120.2,200.66,Orthodox,4.55,4.88,0.48,0.33,0.41,0.46,0.2,0.98,0,126,228,0.55,164,275,0.6,2,4,0.5,1,0,267,14,9,38.0,182.88,120.2,190.5,Orthodox,6.55,6.32,0.5,0.26,0.51,0.66,0.5,1.35,0,-12,-2,-0.05,-41,-38,-0.0799999999999999,-2,-4,-0.5,-1,0,-239,1,-1,-4.0,10.159999999999997,0.0,10.159999999999997,-2.0,-1.4400000000000004,-0.02,0.07,-0.1,-0.2,-0.3,-0.3700000000000001,2020-11-28,0,0,0
UFC Fight Night: Hermansson vs. Vettori,Gian Villante,Jake Collier,Blue,Heavyweight,0,Men,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,80,197,0.4,81,198,0.41,0,0,0.0,0,0,0,17,14,38.0,190.5,104.33,193.04,Orthodox,4.38,5.47,0.44,0.23,0.55,0.83,0.0,0.45,0,123,272,0.45,126,277,0.45,0,0,0.0,0,0,2,13,10,35.0,190.5,104.33,198.12,Orthodox,5.8,5.08,0.44,0.33,0.5,0.67,0.6,0.71,0,-43,-75,-0.0499999999999999,-45,-79,-0.04,0,0,0.0,0,0,-2,4,4,3.0,0.0,0.0,-5.0800000000000125,-1.42,0.3899999999999997,0.0,-0.1,0.05,0.1599999999999999,-0.6,-0.2599999999999999,2020-12-05,0,0,1
UFC 256: Figueiredo vs. Moreno,Junior Dos Santos,Ciryl Gane,Blue,Heavyweight,0,Men,KO/TKO,2,3.0,154,Jerin Valel,0,10,35,0.28,11,36,0.31,0,1,0.0,0,0,0,21,9,40.0,193.04,107.95,195.58,Orthodox,4.49,3.33,0.47,0.5,0.56,0.81,0.1,0.3,1,59,80,0.73,61,82,0.74,0,0,0.0,0,0,25,12,2,33.0,193.04,111.13,205.74,Orthodox,5.49,2.19,0.6,0.21,0.63,0.5,0.5,0.58,-1,-49,-45,-0.4499999999999999,-50,-46,-0.43,0,1,0.0,0,0,-25,9,7,7.0,0.0,-3.1799999999999926,-10.159999999999997,-1.0,1.14,-0.13,0.29,-0.0699999999999999,0.31,-0.4,-0.2799999999999999,2020-12-12,0,11,1
UFC Fight Night: Thompson vs. Neal,Marcin Tybura,Greg Hardy,Red,Heavyweight,0,Men,KO/TKO,2,3.0,271,Dan Miragliotta,0,51,101,0.5,60,111,0.54,1,4,0.25,0,0,87,25,8,38.0,190.5,112.94,198.12,Orthodox,3.6,3.35,0.48,0.33,0.55,0.79,0.1,1.43,0,50,91,0.54,50,91,0.55,0,0,0.0,0,0,2,7,5,35.0,195.58,120.2,203.2,Orthodox,4.79,3.31,0.5,0.33,0.55,0.64,0.0,0.2,0,1,10,-0.04,10,20,-0.01,1,4,0.25,0,0,85,18,3,3.0,-5.0800000000000125,-7.260000000000005,-5.079999999999984,-1.19,0.04,-0.02,0.0,0.0,0.15,0.1,1.23,2020-12-19,0,4,1
UFC Fight Night: Holloway vs. Kattar,Carlos Felipe,Justin Tafa,Red,Heavyweight,0,Men,Decision - Split,3,3.0,300,Herb Dean,0,77,142,0.54,77,142,0.54,0,1,0.0,0,0,41,11,2,29.0,182.88,111.13,190.5,Orthodox,4.88,5.6,0.45,0.0,0.5,0.72,0.0,0.0,0,86,148,0.58,109,171,0.64,0,2,0.0,0,0,113,7,4,30.0,182.88,119.75,187.96,Southpaw,4.09,5.02,0.54,0.0,0.47,0.5,0.0,0.0,0,-9,-6,-0.0399999999999999,-32,-29,-0.0999999999999999,0,-1,0.0,0,0,-72,4,-2,-1.0,0.0,-8.620000000000005,2.539999999999992,0.79,0.5800000000000001,-0.09,0.0,0.03,0.2199999999999999,0.0,0.0,2021-01-16,0,0,1
UFC Fight Night: Overeem vs. Volkov,Alistair Overeem,Alexander Volkov,Blue,Heavyweight,0,Men,KO/TKO,2,5.0,126,Jason Herzog,0,10,20,0.5,10,20,0.5,0,1,0.0,0,0,15,47,19,43.0,193.04,120.2,203.2,Orthodox,3.67,2.44,0.64,0.55,0.57,0.73,0.8,1.42,1,54,88,0.61,54,88,0.61,0,0,0.0,0,0,11,37,10,35.0,200.66,113.4,203.2,Orthodox,5.1,3.0,0.57,0.63,0.54,0.73,0.2,0.49,-1,-44,-68,-0.1099999999999999,-44,-68,-0.1099999999999999,0,1,0.0,0,0,4,10,9,8.0,-7.6200000000000045,6.799999999999997,0.0,-1.4299999999999995,-0.56,0.07,-0.0799999999999999,0.0299999999999999,0.0,0.6000000000000001,0.93,2021-02-06,11,3,1
UFC Fight Night: Blaydes vs. Lewis,Serghei Spivac,Jared Vanderaa,Red,Heavyweight,0,Men,KO/TKO,2,3.0,272,Chris Tognoni,0,51,72,0.7,107,135,0.79,3,3,1.0,0,0,509,16,4,29.0,190.5,117.93,198.12,Orthodox,3.54,3.79,0.49,0.64,0.49,0.7,0.5,4.56,0,13,24,0.54,27,38,0.71,0,0,0.0,0,0,0,12,10,31.0,193.04,120.2,203.2,Orthodox,4.96,5.67,0.44,0.5,0.45,0.2,0.0,0.18,0,38,48,0.1599999999999999,80,97,0.08,3,3,1.0,0,0,509,4,-6,-2.0,-2.539999999999992,-2.269999999999996,-5.079999999999984,-1.42,-1.88,0.0499999999999999,0.14,0.0399999999999999,0.4999999999999999,0.5,4.38,2021-02-20,0,0,0
UFC Fight Night: Blaydes vs. Lewis,Curtis Blaydes,Derrick Lewis,Blue,Heavyweight,0,Men,KO/TKO,2,5.0,86,Herb Dean,0,28,52,0.53,28,52,0.54,0,3,0.0,0,0,15,18,4,33.0,193.04,120.2,203.2,Orthodox,3.53,1.83,0.5,0.53,0.59,0.31,0.0,5.72,1,7,23,0.3,7,23,0.3,0,0,0.0,0,0,0,27,12,39.0,190.5,117.93,200.66,Orthodox,2.43,2.48,0.5,0.26,0.4,0.53,0.0,0.53,-1,21,29,0.23,21,29,0.24,0,3,0.0,0,0,15,-9,-8,-6.0,2.539999999999992,2.269999999999996,2.539999999999992,1.0999999999999996,-0.6499999999999999,0.0,0.27,0.1899999999999999,-0.22,0.0,5.1899999999999995,2021-02-20,12,3,0
UFC Fight Night: Blaydes vs. Lewis,Aleksei Oleinik,Chris Daukaus,Blue,Heavyweight,0,Men,KO/TKO,1,3.0,115,Herb Dean,0,5,10,0.5,6,11,0.55,0,1,0.0,0,0,24,60,17,46.0,187.96,108.86,203.2,Orthodox,3.29,3.8,0.48,0.46,0.44,0.37,1.9,1.82,0,34,56,0.6,34,56,0.61,0,0,0.0,0,0,19,12,7,34.0,190.5,92.99,193.04,Orthodox,6.05,4.64,0.5,0.0,0.55,1.0,0.0,0.0,0,-29,-46,-0.0999999999999999,-28,-45,-0.0599999999999999,0,1,0.0,0,0,5,48,10,12.0,-2.539999999999992,15.870000000000005,10.159999999999997,-2.76,-0.8399999999999999,-0.02,0.46,-0.11,-0.63,1.9,1.82,2021-02-20,0,5,0
UFC Fight Night: Blaydes vs. Lewis,Andrei Arlovski,Tom Aspinall,Blue,Heavyweight,0,Men,Submission,2,3.0,69,Mark Smith,0,20,55,0.36,22,57,0.39,0,0,0.0,0,0,0,34,23,45.0,190.5,108.86,195.58,Orthodox,3.78,3.2,0.45,0.36,0.57,0.76,0.2,0.38,0,37,60,0.61,41,64,0.64,1,1,1.0,1,0,137,14,3,30.0,195.58,116.12,198.12,Orthodox,7.72,2.77,0.66,1.0,0.66,1.0,1.7,3.46,0,-17,-5,-0.25,-19,-7,-0.25,-1,-1,-1.0,-1,0,-137,20,20,15.0,-5.0800000000000125,-7.260000000000005,-2.539999999999992,-3.94,0.4300000000000001,-0.21,-0.64,-0.09,-0.24,-1.5,-3.08,2021-02-20,17,0,1
