event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Munhoz vs. Edgar,Ike Villanueva,Jordan Wright,Blue,Light Heavyweight,0,Men,TKO - Doctor's Stoppage,1,3.0,91,Jason Herzog,0,7,7,1.0,23,24,0.96,0,0,0.0,0,0,58,18,14,39.0,185.42,92.99,185.42,Orthodox,3.66,7.24,0.38,0.5,0.36,1.0,0.0,0.6,1,15,15,1.0,21,21,1.0,0,0,0.0,0,0,13,12,5,32.0,187.96,92.99,195.58,Orthodox,4.1,6.03,0.56,0.45,0.31,1.0,0.4,2.09,-1,-8,-8,0.0,2,3,-0.04,0,0,0.0,0,0,45,6,9,7.0,-2.5400000000000205,0.0,-10.160000000000023,-0.4399999999999995,1.21,-0.18,0.0499999999999999,0.0499999999999999,0.0,-0.4,-1.4899999999999998,2020-08-22,0,0,0
UFC Fight Night: Munhoz vs. Edgar,Marcin Prachnio,Mike Rodriguez,Blue,Light Heavyweight,0,Men,KO/TKO,1,3.0,137,Jason Herzog,0,14,20,0.7,23,30,0.77,0,0,0.0,0,0,25,17,7,35.0,190.5,92.99,187.96,Orthodox,5.61,3.3,0.55,0.2,0.54,0.58,0.0,0.17,1,21,26,0.8,21,26,0.81,0,0,0.0,0,0,16,11,7,35.0,193.04,92.99,208.28,Southpaw,4.35,4.24,0.53,0.0,0.41,0.37,0.0,0.0,-1,-7,-6,-0.1,2,4,-0.04,0,0,0.0,0,0,9,6,0,0.0,-2.539999999999992,0.0,-20.319999999999993,1.260000000000001,-0.9400000000000004,0.02,0.2,0.13,0.2099999999999999,0.0,0.17,2020-08-22,0,0,0
UFC Fight Night: Smith vs. Rakic,Anthony Smith,Aleksandar Rakic,Blue,Light Heavyweight,0,Men,Decision - Unanimous,3,3.0,300,Herb Dean,0,9,21,0.42,40,53,0.75,0,2,0.0,0,0,36,37,19,35.0,193.04,92.99,193.04,Orthodox,3.21,4.47,0.48,0.26,0.46,0.48,0.6,0.49,1,44,57,0.77,141,159,0.89,0,0,0.0,0,0,734,14,3,32.0,193.04,92.99,198.12,Orthodox,4.01,2.3,0.5,0.25,0.53,0.9,0.2,0.82,-1,-35,-36,-0.35,-101,-106,-0.14,0,2,0.0,0,0,-698,23,16,3.0,0.0,0.0,-5.0800000000000125,-0.7999999999999998,2.17,-0.02,0.01,-0.07,-0.42,0.3999999999999999,-0.3299999999999999,2020-08-29,0,0,1
UFC Fight Night: Overeem vs. Sakai,Ovince Saint Preux,Alonzo Menifield,Red,Light Heavyweight,0,Men,KO/TKO,2,3.0,247,Jason Herzog,1,33,80,0.41,33,80,0.41,0,0,0.0,0,0,3,27,17,40.0,190.5,92.99,203.2,Southpaw,3.03,3.32,0.47,0.36,0.47,0.67,0.5,1.1,0,19,40,0.47,21,43,0.49,0,2,0.0,0,0,36,15,3,36.0,182.88,92.99,193.04,Orthodox,3.92,3.51,0.57,0.33,0.49,0.75,0.3,0.67,1,14,40,-0.06,12,37,-0.08,0,-2,0.0,0,0,-33,12,14,4.0,7.6200000000000045,0.0,10.159999999999997,-0.8900000000000001,-0.1899999999999999,-0.0999999999999999,0.0299999999999999,-0.02,-0.0799999999999999,0.2,0.43,2020-09-05,0,11,1
UFC Fight Night: Waterson vs. Hill,Ed Herman,Mike Rodriguez,Red,Light Heavyweight,0,Men,Submission,3,3.0,161,Chris Tognoni,0,40,73,0.54,51,84,0.61,2,4,0.5,1,1,249,27,16,43.0,185.42,92.99,195.58,Orthodox,3.31,3.71,0.48,0.47,0.42,0.59,1.0,1.96,2,89,124,0.71,114,149,0.77,0,1,0.0,0,0,196,11,7,35.0,193.04,92.99,208.28,Southpaw,4.35,4.24,0.53,0.0,0.41,0.37,0.0,0.0,-2,-49,-51,-0.1699999999999999,-63,-65,-0.16,2,3,0.5,1,1,53,16,9,8.0,-7.6200000000000045,0.0,-12.699999999999989,-1.0399999999999996,-0.5300000000000002,-0.05,0.47,0.01,0.2199999999999999,1.0,1.96,2020-09-12,2,0,1
UFC Fight Night: Covington vs. Woodley,Johnny Walker,Ryan Spann,Red,Light Heavyweight,0,Men,KO/TKO,1,3.0,163,Dan Miragliotta,0,26,30,0.86,30,34,0.88,0,0,0.0,0,1,40,21,8,31.0,198.12,92.99,208.28,Orthodox,3.81,2.83,0.53,1.0,0.44,0.57,0.9,0.46,2,7,13,0.53,10,16,0.62,2,2,1.0,0,0,106,21,9,32.0,195.58,92.99,200.66,Orthodox,3.42,3.91,0.4,0.35,0.45,0.47,1.5,1.29,-2,19,17,0.3299999999999999,20,18,0.26,-2,-2,-1.0,0,1,-66,0,-1,-1.0,2.539999999999992,0.0,7.6200000000000045,0.3900000000000001,-1.08,0.13,0.65,-0.01,0.0999999999999999,-0.6,-0.8300000000000001,2020-09-19,0,0,0
UFC 253: Adesanya vs. Costa,Khadis Ibragimov,Danilo Marques,Blue,Light Heavyweight,0,Men,Decision - Unanimous,3,3.0,300,Jason Herzog,0,19,46,0.41,36,65,0.55,0,0,0.0,1,1,90,8,4,28.0,190.5,92.99,198.12,Orthodox,3.55,4.26,0.49,0.3,0.47,0.8,0.3,0.97,0,16,22,0.72,19,26,0.73,4,16,0.25,0,0,436,11,4,38.0,198.12,92.99,195.58,Orthodox,1.44,2.52,0.79,0.28,0.52,0.0,0.8,3.93,0,3,24,-0.31,17,39,-0.1799999999999999,-4,-16,-0.25,1,1,-346,-3,0,-10.0,-7.6200000000000045,0.0,2.539999999999992,2.11,1.7399999999999998,-0.3,0.0199999999999999,-0.05,0.8,-0.5,-2.96,2020-09-26,0,0,1
UFC 253: Adesanya vs. Costa,William Knight,Aleksa Camur,Red,Light Heavyweight,0,Men,Decision - Unanimous,3,3.0,300,Lukasz Bosacki,0,38,54,0.7,58,77,0.75,4,5,0.8,1,1,399,11,5,35.0,177.8,92.99,185.42,Orthodox,2.62,3.3,0.56,0.4,0.35,0.48,0.4,1.78,0,17,30,0.56,59,72,0.82,1,4,0.25,0,0,326,6,3,28.0,185.42,92.99,187.96,Orthodox,4.73,4.26,0.57,0.22,0.54,0.5,0.0,0.46,0,21,24,0.1399999999999999,-1,5,-0.0699999999999999,3,1,0.55,1,1,73,5,2,7.0,-7.619999999999976,0.0,-2.5400000000000205,-2.1100000000000003,-0.96,-0.0099999999999998,0.18,-0.19,-0.02,0.4,1.32,2020-09-26,0,0,1
UFC Fight Night: Ortega vs. The Korean Zombie,Gadzhimurad Antigulov,Maxim Grishin,Blue,Light Heavyweight,0,Men,KO/TKO,2,3.0,298,Anders Ohlsson,0,12,23,0.52,31,44,0.7,1,5,0.2,0,0,159,20,8,37.0,180.34,92.99,177.8,Orthodox,2.08,4.21,0.55,0.36,0.4,0.0,1.4,5.08,0,34,76,0.44,66,126,0.52,1,1,1.0,0,0,141,32,10,39.0,190.5,92.99,198.12,Orthodox,3.26,2.27,0.52,0.16,0.58,0.66,0.0,0.21,0,-22,-53,0.08,-35,-82,0.1799999999999999,0,4,-0.8,0,0,18,-12,-2,-2.0,-10.159999999999997,0.0,-20.319999999999993,-1.1799999999999995,1.94,0.03,0.1999999999999999,-0.1799999999999999,-0.66,1.4,4.87,2020-10-17,0,1,0
UFC Fight Night: Ortega vs. The Korean Zombie,Jimmy Crute,Modestas Bukauskas,Red,Light Heavyweight,0,Men,KO/TKO,1,3.0,121,Anders Ohlsson,2,17,24,0.7,18,25,0.72,0,1,0.0,0,0,25,12,4,28.0,187.96,92.99,187.96,Orthodox,3.68,3.04,0.54,0.57,0.44,0.6,2.0,4.84,0,7,17,0.41,7,17,0.41,0,0,0.0,0,0,0,15,6,30.0,190.5,92.99,198.12,Switch,3.28,3.87,0.41,0.0,0.5,0.71,0.0,0.0,2,10,7,0.29,11,8,0.31,0,1,0.0,0,0,25,-3,-2,-2.0,-2.539999999999992,0.0,-10.159999999999997,0.4000000000000003,-0.8300000000000001,0.13,0.57,-0.06,-0.1099999999999999,2.0,4.84,2020-10-17,0,0,1
