event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Eye vs. Calvillo,Charles Rosa,Kevin Aguilar,Red,Lightweight,0,Men,Decision - Split,3,3.0,300,Mark Smith,0,69,173,0.39,69,173,0.4,0,1,0.0,0,0,0,14,8,37.0,175.26,65.77,175.26,Switch,3.08,3.86,0.36,0.35,0.47,0.38,1.0,1.67,0,53,135,0.39,53,135,0.39,0,2,0.0,0,0,4,17,5,35.0,170.18,70.31,185.42,Orthodox,3.96,4.81,0.4,0.16,0.52,0.78,0.0,0.16,0,16,38,0.0,16,38,0.01,0,-1,0.0,0,0,-4,-3,3,2.0,5.079999999999984,-4.540000000000006,-10.159999999999997,-0.8799999999999999,-0.9499999999999996,-0.04,0.1899999999999999,-0.05,-0.4,1.0,1.51,2020-06-13,0,0,0
UFC Fight Night: Blaydes vs. Volkov,Frank Camacho,Justin Jaynes,Blue,Lightweight,0,Men,KO/TKO,1,3.0,41,Herb Dean,0,4,15,0.26,4,15,0.27,0,0,0.0,0,0,0,22,10,34.0,177.8,70.31,185.42,Orthodox,6.56,7.44,0.46,0.31,0.51,0.73,0.0,1.11,1,16,30,0.53,16,30,0.53,0,0,0.0,0,0,3,16,8,34.0,170.18,65.77,172.72,Orthodox,3.34,5.33,0.44,0.4,0.62,0.2,1.1,0.75,-1,-12,-15,-0.27,-12,-15,-0.26,0,0,0.0,0,0,-3,6,2,0.0,7.6200000000000045,4.540000000000006,12.699999999999989,3.22,2.1100000000000003,0.02,-0.09,-0.1099999999999999,0.53,-1.1,0.3600000000000001,2020-06-20,0,0,1
UFC Fight Night: Blaydes vs. Volkov,Clay Guida,Bobby Green,Blue,Lightweight,0,Men,Decision - Unanimous,3,3.0,300,Jason Herzog,0,23,65,0.35,27,69,0.39,3,12,0.25,0,0,272,38,21,42.0,170.18,70.31,177.8,Orthodox,2.64,3.01,0.33,0.36,0.61,0.67,0.6,3.13,0,85,150,0.56,90,158,0.57,2,3,0.66,2,0,71,31,15,37.0,177.8,70.31,180.34,Orthodox,6.14,3.74,0.52,0.37,0.62,0.74,0.3,1.2,0,-62,-85,-0.21,-63,-89,-0.1799999999999999,1,9,-0.41,-2,0,201,7,6,5.0,-7.6200000000000045,0.0,-2.539999999999992,-3.4999999999999996,-0.7300000000000004,-0.19,-0.01,-0.01,-0.0699999999999999,0.3,1.93,2020-06-20,16,6,0
UFC Fight Night: Blaydes vs. Volkov,Austin Hubbard,Max Rohskopf,Red,Lightweight,0,Men,TKO - Doctor's Stoppage,2,3.0,300,Mark Smith,0,58,101,0.57,59,102,0.58,0,0,0.0,0,0,0,16,7,32.0,177.8,70.31,180.34,Orthodox,3.83,3.37,0.46,0.52,0.56,0.63,0.0,1.55,0,17,54,0.31,17,55,0.31,2,6,0.33,1,0,67,5,1,29.0,185.42,70.31,180.34,Orthodox,1.7,5.8,0.31,0.33,0.42,0.0,1.5,3.0,0,41,47,0.2599999999999999,42,47,0.2699999999999999,-2,-6,-0.33,-1,0,-67,11,6,3.0,-7.619999999999976,0.0,0.0,2.13,-2.4299999999999997,0.15,0.19,0.14,0.63,-1.5,-1.45,2020-06-20,0,0,1
UFC Fight Night: Poirier vs. Hooker,Luis Pena,Khama Worthy,Blue,Lightweight,0,Men,Submission,3,3.0,173,Mark Smith,0,38,77,0.49,40,79,0.51,3,7,0.42,3,0,253,9,3,30.0,190.5,70.31,190.5,Southpaw,3.66,3.12,0.46,0.33,0.51,0.48,1.2,1.17,0,55,101,0.54,66,114,0.58,0,0,0.0,1,2,46,16,9,37.0,180.34,70.31,187.96,Orthodox,4.18,4.45,0.48,0.0,0.46,0.57,0.7,0.0,0,-17,-24,-0.05,-26,-35,-0.0699999999999999,3,7,0.42,2,-2,207,-7,-6,-7.0,10.159999999999997,0.0,2.539999999999992,-0.5199999999999996,-1.33,-0.0199999999999999,0.33,0.0499999999999999,-0.0899999999999999,0.5,1.17,2020-06-27,0,0,0
UFC Fight Night: Poirier vs. Hooker,Dustin Poirier,Dan Hooker,Red,Lightweight,0,Men,Decision - Unanimous,5,5.0,300,Herb Dean,0,153,231,0.66,208,289,0.72,1,7,0.14,4,0,169,30,8,35.0,175.26,70.31,182.88,Southpaw,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,155,253,0.61,182,283,0.64,4,9,0.44,0,0,362,23,12,34.0,182.88,70.31,190.5,Switch,5.08,4.76,0.48,0.34,0.51,0.8,0.4,0.79,0,-2,-22,0.05,26,6,0.0799999999999999,-3,-2,-0.3,4,0,-193,7,-4,1.0,-7.6200000000000045,0.0,-7.6200000000000045,0.3700000000000001,-0.3999999999999994,0.03,0.0199999999999999,0.02,-0.17,1.0,0.54,2020-06-27,0,5,0
UFC 251: Usman vs. Masvidal,Leonardo Santos,Roman Bogatov,Red,Lightweight,0,Men,Decision - Unanimous,3,3.0,300,Marc Goddard,0,66,119,0.55,116,181,0.64,1,2,0.5,0,0,94,18,7,44.0,182.88,70.31,190.5,Orthodox,2.82,3.4,0.46,0.25,0.54,0.86,0.2,0.88,0,50,117,0.42,81,155,0.52,1,11,0.09,0,1,367,10,1,33.0,172.72,70.31,185.42,Orthodox,3.33,4.4,0.42,0.09,0.44,0.5,0.0,1.0,0,16,2,0.13,35,26,0.12,0,-9,0.41,0,-1,-273,8,6,11.0,10.159999999999997,0.0,5.0800000000000125,-0.5100000000000002,-1.0000000000000004,0.04,0.16,0.1,0.36,0.2,-0.12,2020-07-11,0,4,1
UFC Fight Night: Figueiredo vs. Benavidez 2,Joe Duffy,Joel Alvarez,Blue,Lightweight,0,Men,Submission,1,3.0,145,Marc Goddard,0,14,26,0.53,14,26,0.54,1,1,1.0,0,0,9,16,5,36.0,177.8,70.31,185.42,Orthodox,2.68,3.78,0.34,0.66,0.54,0.64,0.7,0.96,0,18,37,0.48,18,37,0.49,0,0,0.0,1,0,0,20,3,31.0,190.5,70.31,195.58,Orthodox,3.65,3.37,0.46,0.0,0.5,0.11,1.3,0.0,0,-4,-11,0.05,-4,-11,0.05,1,1,1.0,-1,0,9,-4,2,5.0,-12.699999999999989,0.0,-10.160000000000023,-0.9699999999999998,0.4099999999999997,-0.12,0.66,0.04,0.53,-0.6000000000000001,0.96,2020-07-18,0,4,1
UFC Fight Night: Figueiredo vs. Benavidez 2,Davi Ramos,Arman Tsarukyan,Blue,Lightweight,0,Men,Decision - Unanimous,3,3.0,300,Daniel Movahedi,0,33,103,0.32,49,122,0.4,0,5,0.0,0,0,18,10,4,37.0,167.64,70.31,177.8,Orthodox,2.64,3.44,0.37,0.4,0.56,0.83,0.6,1.95,0,91,197,0.46,118,227,0.52,1,5,0.2,0,0,188,21,3,27.0,170.18,70.31,182.88,Orthodox,3.85,1.91,0.48,0.36,0.54,0.75,0.0,3.4,0,-58,-94,-0.14,-69,-105,-0.12,-1,0,-0.2,0,0,-170,-11,1,10.0,-2.5400000000000205,0.0,-5.079999999999984,-1.21,1.53,-0.1099999999999999,0.04,0.02,0.0799999999999999,0.6,-1.45,2020-07-18,0,0,1
UFC Fight Night: Figueiredo vs. Benavidez 2,Marc Diakiese,Rafael Fiziev,Blue,Lightweight,0,Men,Decision - Unanimous,3,3.0,300,Rich Mitchell,0,68,148,0.45,73,153,0.48,0,4,0.0,0,0,22,17,7,31.0,177.8,70.31,185.42,Orthodox,2.54,2.64,0.4,0.43,0.52,0.66,0.0,3.29,0,78,124,0.62,82,128,0.64,1,2,0.5,0,0,169,12,3,31.0,172.72,70.31,180.34,Switch,4.9,4.97,0.51,0.4,0.49,0.89,0.0,0.29,0,-10,24,-0.1699999999999999,-9,25,-0.16,-1,2,-0.5,0,0,-147,5,4,0.0,5.0800000000000125,0.0,5.079999999999984,-2.3600000000000003,-2.3299999999999996,-0.1099999999999999,0.0299999999999999,0.03,-0.2299999999999999,0.0,3.0,2020-07-18,1,0,1
