event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC 258: Usman vs. Burns,Rodolfo Vieira,Anthony Hernandez,Blue,Middleweight,0,Men,Submission,2,3.0,113,Keith Peterson,0,9,26,0.34,14,32,0.44,4,10,0.4,0,0,240,10,2,34.0,182.88,83.91,185.42,Orthodox,3.19,4.6,0.54,0.3,0.49,1.0,1.6,4.18,0,32,50,0.64,50,73,0.68,0,0,0.0,2,1,85,12,2,30.0,182.88,83.91,190.5,Orthodox,4.3,3.46,0.59,0.49,0.45,0.63,3.0,6.62,0,-23,-24,-0.3,-36,-41,-0.24,4,10,0.4,-2,-1,155,-2,0,4.0,0.0,0.0,-5.0800000000000125,-1.11,1.1399999999999997,-0.0499999999999999,-0.19,0.0399999999999999,0.37,-1.4,-2.4400000000000004,2021-02-13,0,0,0
UFC Fight Night: Blaydes vs. Lewis,Phil Hawes,Nassourdine Imavov,Red,Middleweight,0,Men,Decision - Majority,3,3.0,300,Chris Tognoni,0,31,54,0.57,101,128,0.79,4,7,0.57,0,0,666,12,6,35.0,182.88,83.91,195.58,Orthodox,5.33,3.72,0.59,0.34,0.55,0.9,0.2,2.11,0,57,93,0.61,87,124,0.7,0,0,0.0,0,0,7,13,4,29.0,190.5,83.91,190.5,Orthodox,4.53,3.26,0.54,0.31,0.61,0.76,1.5,0.87,0,-26,-39,-0.04,14,4,0.09,4,7,0.57,0,0,659,-1,2,6.0,-7.6200000000000045,0.0,5.0800000000000125,0.7999999999999998,0.4600000000000004,0.0499999999999999,0.03,-0.0599999999999999,0.14,-1.3,1.2399999999999998,2021-02-20,0,0,1
UFC Fight Night: Brunson vs. Holland,Derek Brunson,Kevin Holland,Red,Middleweight,0,Men,Decision - Unanimous,5,5.0,300,Herb Dean,0,43,93,0.46,226,323,0.7,6,12,0.5,1,0,1015,23,9,40.0,185.42,83.91,195.58,Southpaw,3.51,3.05,0.47,0.33,0.51,0.85,0.6,3.14,0,36,74,0.48,190,236,0.81,1,1,1.0,0,0,107,25,11,31.0,190.5,77.11,205.74,Orthodox,4.24,3.19,0.49,0.38,0.5,0.54,0.6,0.85,0,7,19,-0.0199999999999999,36,87,-0.1100000000000001,5,11,-0.5,1,0,908,-2,-2,9.0,-5.0800000000000125,6.799999999999997,-10.159999999999997,-0.7300000000000004,-0.1400000000000001,-0.02,-0.0499999999999999,0.01,0.3099999999999999,0.0,2.29,2021-03-20,0,10,1
UFC Fight Night: Brunson vs. Holland,Trevin Giles,Roman Dolidze,Red,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Herb Dean,0,27,57,0.47,43,73,0.59,1,2,0.5,1,0,75,16,6,31.0,182.88,77.11,187.96,Orthodox,3.27,2.22,0.55,0.5,0.58,0.71,0.3,1.19,0,32,67,0.47,75,110,0.68,1,3,0.33,2,1,255,12,3,35.0,187.96,83.91,193.04,Orthodox,2.62,3.36,0.39,0.4,0.51,0.33,1.3,1.3,0,-5,-10,0.0,-32,-37,-0.09,0,-1,0.1699999999999999,-1,-1,-180,4,3,-4.0,-5.0800000000000125,-6.799999999999997,-5.079999999999984,0.6499999999999999,-1.1399999999999997,0.16,0.0999999999999999,0.0699999999999999,0.3799999999999999,-1.0,-0.1100000000000001,2021-03-20,0,0,0
UFC 260: Miocic vs. Ngannou,Marc-Andre Barriault,Abu Azaitar,Red,Middleweight,0,Men,KO/TKO,3,3.0,296,Jerin Valel,1,141,275,0.51,190,339,0.56,0,1,0.0,0,0,360,16,7,34.0,185.42,83.91,187.96,Orthodox,6.19,5.67,0.47,0.25,0.52,0.67,0.1,0.22,0,108,219,0.49,142,261,0.54,0,3,0.0,0,0,123,14,4,38.0,175.26,83.91,193.04,Orthodox,4.38,4.32,0.43,0.37,0.51,0.42,0.0,1.0,1,33,56,0.02,48,78,0.02,0,-2,0.0,0,0,237,2,3,-4.0,10.159999999999997,0.0,-5.079999999999984,1.8100000000000005,1.3499999999999996,0.0399999999999999,-0.12,0.01,0.25,0.1,-0.78,2021-03-27,0,0,1
UFC Fight Night: Vettori vs. Holland,Marvin Vettori,Kevin Holland,Red,Middleweight,0,Men,Decision - Unanimous,5,5.0,300,Herb Dean,0,24,64,0.37,152,250,0.61,11,17,0.64,1,0,1201,19,7,30.0,182.88,83.91,187.96,Southpaw,4.56,4.24,0.45,0.45,0.56,0.69,0.5,1.66,0,37,103,0.35,138,214,0.64,0,0,0.0,0,0,3,25,11,31.0,190.5,77.11,205.74,Orthodox,4.24,3.19,0.49,0.38,0.5,0.54,0.6,0.85,0,-13,-39,0.02,14,36,-0.03,11,17,0.64,1,0,1198,-6,-4,-1.0,-7.6200000000000045,6.799999999999997,-17.78,0.3199999999999994,1.0500000000000005,-0.0399999999999999,0.07,0.06,0.1499999999999999,-0.0999999999999999,0.8099999999999999,2021-04-10,0,2,1
UFC Fight Night: Vettori vs. Holland,Sam Alvey,Julian Marquez,Blue,Middleweight,0,Men,Submission,2,3.0,127,Mark Smith,0,29,78,0.37,29,78,0.37,0,0,0.0,0,0,5,33,18,37.0,187.96,83.91,190.5,Southpaw,3.28,3.63,0.44,0.14,0.52,0.82,0.1,0.06,1,61,100,0.61,62,101,0.61,0,0,0.0,1,0,16,9,4,33.0,187.96,83.91,182.88,Orthodox,4.86,4.99,0.44,0.0,0.51,0.53,2.6,0.0,-1,-32,-22,-0.24,-33,-23,-0.24,0,0,0.0,-1,0,-11,24,14,4.0,0.0,0.0,7.6200000000000045,-1.5800000000000003,-1.3600000000000003,0.0,0.14,0.01,0.2899999999999999,-2.5,0.06,2021-04-10,10,0,1
UFC Fight Night: Whittaker vs. Gastelum,Bartosz Fabinski,Gerald Meerschaert,Blue,Middleweight,0,Men,Submission,1,3.0,120,Herb Dean,0,6,13,0.46,16,23,0.7,1,1,1.0,0,0,13,15,5,37.0,182.88,77.11,190.5,Orthodox,2.23,1.46,0.68,0.7,0.51,0.8,0.0,7.1,0,8,10,0.8,12,14,0.86,0,0,0.0,1,1,86,36,17,36.0,185.42,83.91,195.58,Southpaw,3.18,3.37,0.45,0.38,0.53,0.34,1.6,2.17,0,-2,3,-0.34,4,9,-0.16,1,1,1.0,-1,-1,-73,-21,-12,1.0,-2.539999999999992,-6.799999999999997,-5.0800000000000125,-0.9500000000000002,-1.91,0.23,0.3199999999999999,-0.02,0.46,-1.6,4.93,2021-04-17,2,1,1
UFC Fight Night: Whittaker vs. Gastelum,Robert Whittaker,Kelvin Gastelum,Red,Middleweight,0,Men,Decision - Unanimous,5,5.0,300,Herb Dean,0,150,284,0.52,169,303,0.56,4,7,0.57,0,0,259,26,7,33.0,182.88,83.91,185.42,Orthodox,4.57,3.45,0.42,0.38,0.59,0.82,0.0,0.81,0,62,209,0.29,70,218,0.32,1,5,0.2,0,0,26,18,9,32.0,175.26,77.11,180.34,Southpaw,3.55,3.23,0.41,0.3,0.58,0.59,0.1,0.96,0,88,75,0.23,99,85,0.24,3,2,0.3699999999999999,0,0,233,8,-2,1.0,7.6200000000000045,6.799999999999997,5.079999999999984,1.0200000000000005,0.2200000000000002,0.01,0.08,0.01,0.2299999999999999,-0.1,-0.1499999999999999,2021-04-17,2,5,1
UFC Fight Night: Whittaker vs. Gastelum,Abdul Razak Alhassan,Jacob Malkoun,Blue,Middleweight,0,Men,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,21,47,0.44,32,59,0.54,0,0,0.0,0,0,2,12,6,38.0,177.8,83.91,185.42,Orthodox,3.37,3.99,0.48,0.38,0.55,0.5,0.2,0.89,0,27,55,0.49,91,135,0.67,8,24,0.33,2,0,701,7,3,28.0,175.26,83.91,185.42,Orthodox,3.89,2.49,0.56,0.44,0.5,0.0,0.5,7.2,0,-6,-8,-0.0499999999999999,-59,-76,-0.13,-8,-24,-0.33,-2,0,-699,5,3,10.0,2.5400000000000205,0.0,0.0,-0.52,1.5,-0.08,-0.06,0.05,0.5,-0.3,-6.3100000000000005,2021-04-17,0,0,1
