event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Anderson vs. Blachowicz,Tim Means,Daniel Rodriguez,Blue,Welterweight,0,Men,Submission,2,3.0,217,Herb Dean,0,41,95,0.43,41,95,0.43,1,3,0.33,0,0,11,33,15,40.0,187.96,77.11,190.5,Orthodox,5.1,3.65,0.49,0.42,0.6,0.65,0.2,1.16,1,49,121,0.4,49,121,0.4,0,0,0.0,1,0,4,17,4,37.0,185.42,77.11,187.96,Southpaw,7.3,5.28,0.5,0.5,0.56,0.63,0.1,0.62,-1,-8,-26,0.0299999999999999,-8,-26,0.0299999999999999,1,3,0.33,-1,0,7,16,11,3.0,2.5400000000000205,0.0,2.539999999999992,-2.2,-1.6300000000000003,-0.01,-0.08,0.0399999999999999,0.02,0.1,0.5399999999999999,2020-02-15,0,8,1
UFC Fight Night: Anderson vs. Blachowicz,Diego Sanchez,Michel Pereira,Red,Welterweight,0,Men,DQ,3,3.0,189,Jason Herzog,0,25,64,0.39,29,68,0.43,0,6,0.0,0,0,10,31,13,42.0,177.8,77.11,182.88,Southpaw,2.69,3.02,0.37,0.24,0.56,0.46,0.8,1.51,1,53,91,0.58,56,94,0.6,2,2,1.0,0,0,49,30,11,30.0,185.42,83.91,185.42,Orthodox,5.15,3.71,0.54,0.55,0.58,0.94,0.7,1.55,-1,-28,-27,-0.1899999999999999,-27,-26,-0.1699999999999999,-2,4,-1.0,0,0,-39,1,2,12.0,-7.619999999999976,-6.799999999999997,-2.539999999999992,-2.4600000000000004,-0.69,-0.17,-0.31,-0.0199999999999999,-0.4799999999999999,0.1,-0.04,2020-02-15,0,13,0
UFC Fight Night: Felder vs. Hooker,Callan Potter,Song Kenan,Blue,Welterweight,0,Men,KO/TKO,1,3.0,140,Neil Swailes,0,7,15,0.46,8,17,0.47,1,1,1.0,0,0,3,18,9,39.0,182.88,77.11,182.88,Orthodox,3.18,4.72,0.5,0.66,0.58,1.0,0.0,3.29,1,17,35,0.48,21,40,0.52,0,0,0.0,0,0,7,20,8,34.0,182.88,77.11,180.34,Orthodox,4.36,6.38,0.46,0.5,0.5,0.61,0.0,0.34,-1,-10,-20,-0.0199999999999999,-13,-23,-0.05,1,1,1.0,0,0,-4,-2,1,5.0,0.0,0.0,2.539999999999992,-1.1800000000000002,-1.66,0.0399999999999999,0.16,0.0799999999999999,0.39,0.0,2.95,2020-02-22,0,0,1
UFC Fight Night: Felder vs. Hooker,Jake Matthews,Emil Meek,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,John Sharp,1,33,73,0.45,71,112,0.63,4,7,0.57,0,0,507,19,7,29.0,180.34,77.11,185.42,Orthodox,3.3,2.56,0.45,0.4,0.6,0.62,0.6,1.59,0,50,118,0.42,85,162,0.52,0,1,0.0,0,0,4,9,5,35.0,180.34,77.11,187.96,Switch,2.52,2.53,0.39,0.33,0.38,0.47,1.0,0.25,1,-17,-45,0.03,-14,-50,0.1099999999999999,4,6,0.57,0,0,503,10,2,-6.0,0.0,0.0,-2.5400000000000205,0.7799999999999998,0.0300000000000002,0.06,0.07,0.2199999999999999,0.15,-0.4,1.34,2020-02-22,0,0,1
UFC Fight Night: Benavidez vs. Figueiredo,Sean Brady,Ismail Naurdiev,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Scott Howard,0,47,91,0.51,125,191,0.65,4,9,0.44,1,0,478,16,1,31.0,177.8,77.11,182.88,Orthodox,3.77,3.55,0.53,0.57,0.61,0.87,1.2,3.29,0,37,87,0.42,38,88,0.43,0,1,0.0,0,0,18,19,4,27.0,177.8,77.11,187.96,Orthodox,3.17,1.3,0.52,0.71,0.68,0.7,0.2,1.25,0,10,4,0.09,87,103,0.22,4,8,0.44,1,0,460,-3,-3,4.0,0.0,0.0,-5.0800000000000125,0.6000000000000001,2.25,0.01,-0.14,-0.07,0.17,1.0,2.04,2020-02-29,0,0,1
UFC 248: Adesanya vs. Romero,Neil Magny,Li Jingliang,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Keith Peterson,0,74,139,0.53,123,188,0.65,4,7,0.57,0,0,306,29,12,36.0,190.5,77.11,203.2,Orthodox,3.47,2.42,0.46,0.4,0.52,0.54,0.3,2.17,0,16,62,0.25,16,65,0.25,2,3,0.66,0,0,219,19,8,36.0,182.88,77.11,180.34,Orthodox,4.46,3.84,0.42,0.41,0.57,0.6,0.0,1.25,0,58,77,0.28,107,123,0.4,2,4,-0.09,0,0,87,10,4,0.0,7.6200000000000045,0.0,22.859999999999985,-0.9899999999999998,-1.42,0.04,-0.0099999999999999,-0.0499999999999999,-0.0599999999999999,0.3,0.92,2020-03-07,5,15,1
UFC 248: Adesanya vs. Romero,Alex Oliveira,Max Griffin,Red,Welterweight,0,Men,Decision - Split,3,3.0,300,Mark Smith,0,40,77,0.51,61,98,0.62,1,5,0.2,0,0,210,22,12,36.0,180.34,77.11,193.04,Orthodox,2.99,2.55,0.51,0.38,0.46,0.63,0.6,2.35,0,23,50,0.46,62,96,0.65,2,3,0.66,0,1,333,20,10,38.0,180.34,77.11,193.04,Orthodox,3.92,3.81,0.49,0.41,0.57,0.68,0.3,1.45,0,17,27,0.0499999999999999,-1,2,-0.03,-1,2,-0.46,0,-1,-123,2,2,-2.0,0.0,0.0,0.0,-0.9299999999999996,-1.2600000000000002,0.02,-0.0299999999999999,-0.1099999999999999,-0.05,0.3,0.9000000000000001,2020-03-07,4,2,0
UFC Fight Night: Lee vs. Oliveira,Elizeu Zaleski dos Santos,Aleksei Kunchenko,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Osiris Maia,0,62,156,0.39,74,169,0.44,2,4,0.5,0,0,150,24,7,37.0,180.34,77.11,185.42,Orthodox,4.52,3.33,0.42,0.13,0.57,0.68,0.4,0.43,0,57,112,0.5,97,156,0.62,0,0,0.0,0,0,24,20,2,39.0,172.72,77.11,177.8,Orthodox,3.67,2.83,0.44,0.33,0.63,0.8,0.0,0.25,0,5,44,-0.1099999999999999,-23,13,-0.18,2,4,0.5,0,0,126,4,5,-2.0,7.6200000000000045,0.0,7.619999999999976,0.8499999999999996,0.5,-0.02,-0.2,-0.06,-0.12,0.4,0.18,2020-03-14,0,3,1
UFC Fight Night: Lee vs. Oliveira,Demian Maia,Gilbert Burns,Blue,Welterweight,0,Men,KO/TKO,1,3.0,154,Osiris Maia,0,4,7,0.57,4,7,0.57,2,2,1.0,0,0,83,28,11,46.0,185.42,77.11,182.88,Southpaw,1.8,2.07,0.43,0.24,0.63,0.61,1.0,2.49,1,13,16,0.81,14,17,0.82,0,0,0.0,0,0,4,22,7,37.0,177.8,77.11,180.34,Orthodox,3.29,3.42,0.48,0.38,0.54,0.5,0.5,2.24,-1,-9,-9,-0.2400000000000001,-10,-10,-0.25,2,2,1.0,0,0,79,6,4,9.0,7.619999999999976,0.0,2.539999999999992,-1.49,-1.35,-0.0499999999999999,-0.14,0.0899999999999999,0.1099999999999999,0.5,0.25,2020-03-14,1,11,1
UFC 249: Ferguson vs. Gaethje,Vicente Luque,Niko Price,Red,Welterweight,0,Men,TKO - Doctor's Stoppage,3,3.0,217,Jason Herzog,1,130,237,0.54,130,237,0.55,0,0,0.0,0,0,25,22,9,32.0,180.34,77.11,190.5,Orthodox,5.17,5.15,0.52,0.6,0.52,0.62,0.7,1.04,0,129,291,0.44,144,307,0.47,1,4,0.25,0,0,109,15,7,34.0,182.88,77.11,193.04,Orthodox,5.46,5.6,0.42,0.2,0.48,0.64,0.7,0.7,1,1,-54,0.1,-14,-70,0.08,-1,-4,-0.25,0,0,-84,7,2,-2.0,-2.539999999999992,0.0,-2.539999999999992,-0.29,-0.4499999999999993,0.1,0.3999999999999999,0.04,-0.02,0.0,0.3400000000000001,2020-05-09,0,5,1
