event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Costa vs. Vettori,Jessica-Rose Clark,Joselyne Edwards,Red,Women's Bantamweight,0,Women,Decision - Unanimous,3,3.0,300,Keith Peterson,0,18,27,0.66,54,74,0.73,5,11,0.45,0,0,700,11,9,36.0,165.1,61.23,162.56,Orthodox,3.73,3.51,0.51,0.42,0.58,0.62,0.3,1.66,0,30,48,0.62,72,94,0.77,0,0,0.0,0,0,98,13,5,28.0,172.72,61.23,177.8,Orthodox,4.71,3.36,0.52,0.33,0.5,0.64,0.3,1.0,0,-12,-21,0.04,-18,-20,-0.04,5,11,0.45,0,0,602,-2,4,8.0,-7.6200000000000045,0.0,-15.240000000000007,-0.98,0.1499999999999999,-0.01,0.0899999999999999,0.0799999999999999,-0.02,0.0,0.6599999999999999,2021-10-23,0,1,0
UFC Fight Night: Vieira vs. Tate,Ketlen Vieira,Miesha Tate,Red,Women's Bantamweight,0,Women,Decision - Unanimous,5,5.0,300,Jason Herzog,0,113,263,0.42,156,313,0.5,0,1,0.0,0,0,2,14,3,32.0,172.72,61.23,172.72,Orthodox,3.04,3.92,0.41,0.44,0.51,0.92,0.6,1.51,0,122,276,0.44,145,302,0.48,1,6,0.16,0,0,172,20,9,37.0,167.64,61.23,165.1,Orthodox,2.62,2.98,0.45,0.31,0.51,0.55,1.3,2.02,0,-9,-13,-0.02,11,11,0.02,-1,-5,-0.16,0,0,-170,-6,-6,-5.0,5.0800000000000125,0.0,7.6200000000000045,0.4199999999999999,0.94,-0.04,0.13,0.0,0.37,-0.7000000000000001,-0.51,2021-11-20,6,4,1
UFC Fight Night: Hermansson vs. Strickland,Alexis Davis,Julija Stoliarenko,Red,Women's Bantamweight,0,Women,Decision - Unanimous,3,3.0,300,Mark Smith,0,85,120,0.7,171,218,0.78,1,1,1.0,0,0,549,21,11,39.0,167.64,61.23,172.72,Orthodox,4.63,4.45,0.49,0.44,0.54,0.34,0.7,0.95,0,56,113,0.49,93,154,0.6,0,0,0.0,3,0,0,11,9,30.0,170.18,56.7,167.64,Orthodox,2.49,4.54,0.39,0.27,0.46,0.54,1.7,0.93,0,29,7,0.2099999999999999,78,64,0.18,1,1,1.0,-3,0,549,10,2,9.0,-2.5400000000000205,4.529999999999994,5.0800000000000125,2.1399999999999997,-0.0899999999999998,0.0999999999999999,0.1699999999999999,0.08,-0.2,-1.0,0.0199999999999999,2022-02-05,6,0,0
UFC Fight Night: Walker vs. Hill,Jessica-Rose Clark,Stephanie Egger,Blue,Women's Bantamweight,0,Women,Submission,1,3.0,224,Jason Herzog,0,2,4,0.5,10,13,0.77,1,1,1.0,0,0,121,11,9,36.0,165.1,61.23,162.56,Orthodox,3.73,3.51,0.51,0.42,0.58,0.62,0.3,1.66,0,5,10,0.5,29,34,0.85,2,2,1.0,1,0,81,8,5,35.0,167.64,61.23,172.72,Orthodox,2.2,2.48,0.46,0.42,0.52,0.5,0.6,2.48,0,-3,-6,0.0,-19,-21,-0.0799999999999999,-1,-1,0.0,-1,0,40,3,4,1.0,-2.539999999999992,0.0,-10.159999999999997,1.5299999999999998,1.0299999999999998,0.0499999999999999,0.0,0.0599999999999999,0.12,-0.3,-0.8200000000000001,2022-02-19,1,0,1
UFC Fight Night: Blaydes vs. Daukaus,Sara McMann,Karol Rosa,Red,Women's Bantamweight,0,Women,Decision - Unanimous,3,3.0,300,Chad Trukovich,0,24,41,0.58,73,100,0.73,4,6,0.66,0,0,627,13,6,43.0,167.64,61.23,167.64,Orthodox,2.26,1.92,0.46,0.65,0.47,0.5,0.5,4.38,0,26,43,0.6,92,120,0.77,1,2,0.5,0,1,116,17,6,29.0,165.1,61.23,170.18,Orthodox,6.34,4.78,0.56,0.45,0.49,0.68,0.0,1.22,0,-2,-2,-0.02,-19,-20,-0.04,3,4,0.16,0,-1,511,-4,0,14.0,2.539999999999992,0.0,-2.5400000000000205,-4.08,-2.8600000000000003,-0.1,0.2,-0.02,-0.18,0.5,3.16,2022-03-26,1,9,0
UFC 273: Volkanovski vs. The Korean Zombie,Aspen Ladd,Raquel Pennington,Blue,Women's Bantamweight,0,Women,Decision - Unanimous,3,3.0,300,Keith Peterson,0,65,160,0.4,102,199,0.51,2,4,0.5,0,0,176,9,3,29.0,167.64,61.23,167.64,Orthodox,3.78,4.65,0.47,0.47,0.47,0.62,0.6,1.56,0,114,195,0.58,136,218,0.62,0,1,0.0,0,0,102,16,9,35.0,170.18,61.23,170.18,Orthodox,4.14,3.29,0.52,0.27,0.6,0.63,0.7,0.9,0,-49,-35,-0.1799999999999999,-34,-19,-0.1099999999999999,2,3,0.5,0,0,74,-7,-6,-6.0,-2.5400000000000205,0.0,-2.5400000000000205,-0.3599999999999999,1.3600000000000003,-0.05,0.1999999999999999,-0.13,-0.01,-0.0999999999999999,0.66,2022-04-09,4,10,1
UFC Fight Night: Luque vs. Muhammad,Mayra Bueno Silva,Wu Yanan,Red,Women's Bantamweight,0,Women,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,87,152,0.57,88,153,0.58,0,1,0.0,2,0,49,10,3,32.0,167.64,61.23,167.64,Orthodox,3.84,4.86,0.57,0.38,0.53,0.68,1.6,0.68,0,62,218,0.28,75,232,0.32,1,1,1.0,0,0,135,13,6,27.0,172.72,61.23,167.64,Orthodox,4.23,4.95,0.41,0.3,0.49,0.63,0.2,0.62,0,25,-66,0.2899999999999999,13,-79,0.2599999999999999,-1,0,-1.0,2,0,-86,-3,-3,5.0,-5.0800000000000125,0.0,0.0,-0.3900000000000005,-0.0899999999999998,0.1599999999999999,0.08,0.04,0.05,1.4,0.06,2022-04-16,1,0,1
UFC Fight Night: Luque vs. Muhammad,Lina Lansberg,Pannie Kianzad,Blue,Women's Bantamweight,0,Women,Decision - Unanimous,3,3.0,300,Chris Tognoni,1,39,88,0.44,64,113,0.57,0,3,0.0,0,0,143,10,8,42.0,170.18,61.23,165.1,Orthodox,2.69,3.87,0.55,0.27,0.44,0.47,0.1,0.52,0,78,160,0.48,109,210,0.52,1,1,1.0,0,0,271,17,8,32.0,170.18,61.23,167.64,Orthodox,4.74,3.67,0.49,0.33,0.53,0.66,0.1,0.46,1,-39,-72,-0.0399999999999999,-45,-97,0.0499999999999999,-1,2,-1.0,0,0,-128,-7,0,10.0,0.0,0.0,-2.539999999999992,-2.0500000000000003,0.2000000000000001,0.06,-0.06,-0.09,-0.19,0.0,0.06,2022-04-16,6,2,1
UFC Fight Night: Holm vs. Vieira,Holly Holm,Ketlen Vieira,Blue,Women's Bantamweight,0,Women,Decision - Split,5,5.0,300,Jason Herzog,0,96,157,0.61,188,263,0.71,0,6,0.0,0,0,603,15,6,42.0,172.72,61.23,175.26,Southpaw,3.21,2.79,0.4,0.3,0.56,0.78,0.1,0.9,0,85,151,0.56,122,190,0.64,1,7,0.14,1,0,84,14,3,32.0,172.72,61.23,172.72,Orthodox,3.04,3.92,0.41,0.44,0.51,0.92,0.6,1.51,0,11,6,0.0499999999999999,66,73,0.0699999999999999,-1,-1,-0.14,-1,0,519,1,3,10.0,0.0,0.0,2.539999999999992,0.1699999999999999,-1.13,-0.0099999999999999,-0.14,0.05,-0.14,-0.5,-0.61,2022-05-21,4,4,1
UFC 276: Adesanya vs. Cannonier,Jessica-Rose Clark,Julija Stoliarenko,Blue,Women's Bantamweight,0,Women,Submission,1,3.0,42,Chris Tognoni,0,9,16,0.56,9,16,0.56,0,0,0.0,0,0,0,11,9,36.0,165.1,61.23,162.56,Orthodox,3.73,3.51,0.51,0.42,0.58,0.62,0.3,1.66,0,6,9,0.66,6,9,0.67,1,1,1.0,1,0,17,11,9,30.0,170.18,56.7,167.64,Orthodox,2.49,4.54,0.39,0.27,0.46,0.54,1.7,0.93,0,3,7,-0.0999999999999999,3,7,-0.1099999999999999,-1,-1,-1.0,-1,0,-17,0,0,6.0,-5.0800000000000125,4.529999999999994,-5.079999999999984,1.2399999999999998,-1.0300000000000002,0.12,0.1499999999999999,0.1199999999999999,0.0799999999999999,-1.4,0.7299999999999999,2022-07-02,1,0,1
