event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Ortega vs. Rodriguez,Michelle Waterson-Gomez,Amanda Lemos,Blue,Women's Strawweight,0,Women,Submission,2,3.0,108,Kevin MacDonald,0,29,56,0.51,35,62,0.56,1,2,0.5,0,0,68,18,12,38.0,160.02,52.16,157.48,Orthodox,3.56,4.19,0.46,0.32,0.49,0.7,0.7,1.42,0,20,35,0.57,20,35,0.57,0,0,0.0,1,1,5,14,3,36.0,162.56,52.16,165.1,Southpaw,3.43,4.21,0.54,0.63,0.44,0.57,0.7,0.98,0,9,21,-0.0599999999999999,15,27,-0.0099999999999998,1,2,0.5,-1,-1,63,4,9,2.0,-2.539999999999992,0.0,-7.6200000000000045,0.1299999999999999,-0.0199999999999995,-0.08,-0.31,0.0499999999999999,0.13,0.0,0.4399999999999999,2022-07-16,10,2,1
UFC Fight Night: Ortega vs. Rodriguez,Jessica Penne,Emily Ducote,Blue,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Jacob Montalvo,0,63,244,0.25,68,249,0.27,0,8,0.0,0,0,0,14,8,41.0,165.1,52.16,170.18,Orthodox,2.52,4.75,0.31,0.21,0.46,0.36,0.6,1.32,0,116,205,0.56,117,206,0.57,0,0,0.0,0,0,0,13,8,30.0,157.48,52.16,160.02,Orthodox,6.93,7.98,0.48,0.14,0.56,0.92,0.0,0.25,0,-53,39,-0.31,-49,43,-0.2999999999999999,0,8,0.0,0,0,0,1,0,11.0,7.6200000000000045,0.0,10.159999999999997,-4.41,-3.2300000000000004,-0.1699999999999999,0.0699999999999999,-0.1,-0.56,0.6,1.07,2022-07-16,3,0,1
UFC Fight Night: Santos vs. Hill,Cory McKenna,Miranda Granger,Red,Women's Strawweight,0,Women,Submission,2,3.0,63,Keith Peterson,0,13,22,0.59,43,53,0.81,3,4,0.75,2,0,280,8,3,24.0,160.02,52.16,147.32,Orthodox,3.0,3.19,0.4,0.58,0.48,0.71,0.4,2.22,0,13,34,0.38,14,35,0.4,0,0,0.0,0,0,5,7,3,31.0,170.18,52.16,172.72,Orthodox,2.79,2.57,0.47,0.0,0.57,0.33,0.0,0.0,0,0,-12,0.2099999999999999,29,18,0.41,3,4,0.75,2,0,275,1,0,-7.0,-10.159999999999997,0.0,-25.40000000000001,0.2099999999999999,0.6200000000000001,-0.0699999999999999,0.58,-0.0899999999999999,0.3799999999999999,0.4,2.22,2022-08-06,1,0,1
UFC Fight Night: Vera vs. Cruz,Yazmin Jauregui,Iasmin Lucindo,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Jason Herzog,0,86,218,0.39,87,219,0.4,0,0,0.0,0,0,13,11,1,25.0,160.02,52.16,162.56,Orthodox,6.26,5.12,0.38,0.0,0.55,1.0,0.0,0.0,0,66,181,0.36,66,181,0.36,0,2,0.0,0,0,34,15,5,22.0,160.02,52.16,167.64,Orthodox,3.33,3.23,0.39,0.66,0.67,0.66,0.4,2.33,0,20,37,0.03,21,38,0.04,0,-2,0.0,0,0,-21,-4,-4,3.0,0.0,0.0,-5.079999999999984,2.9299999999999997,1.89,-0.01,-0.66,-0.12,0.3399999999999999,-0.4,-2.33,2022-08-13,0,0,1
UFC 279: Diaz vs. Ferguson,Melissa Martinez,Elise Reed,Blue,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Mark Smith,0,45,78,0.57,63,96,0.66,1,2,0.5,0,0,162,7,1,26.0,157.48,52.16,167.64,Southpaw,3.0,2.53,0.57,0.5,0.45,0.0,0.0,1.0,1,38,70,0.54,65,99,0.66,3,3,1.0,0,0,214,7,4,31.0,160.02,52.16,160.02,Orthodox,2.66,3.06,0.49,0.6,0.52,0.42,0.0,0.58,-1,7,8,0.0299999999999999,-2,-3,0.0,-2,-1,-0.5,0,0,-52,0,-3,-5.0,-2.5400000000000205,0.0,7.619999999999976,0.3399999999999998,-0.5300000000000002,0.0799999999999999,-0.0999999999999999,-0.07,-0.42,0.0,0.42,2022-09-10,0,0,1
UFC Fight Night: Sandhagen vs. Song,Denise Gomes,Loma Lookboonmee,Blue,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Keith Peterson,0,19,34,0.55,45,66,0.68,0,6,0.0,3,2,331,8,3,24.0,157.48,52.16,160.02,Orthodox,4.81,3.66,0.48,0.33,0.49,0.47,0.8,1.13,0,48,67,0.71,87,115,0.76,4,5,0.8,0,1,421,9,3,28.0,154.94,52.16,154.94,Orthodox,4.1,2.48,0.57,0.5,0.53,0.72,0.1,1.9,0,-29,-33,-0.1599999999999999,-42,-49,-0.0799999999999999,-4,1,-0.8,3,1,-90,-1,0,-4.0,2.539999999999992,0.0,5.0800000000000125,0.71,1.1800000000000002,-0.0899999999999999,-0.1699999999999999,-0.04,-0.25,0.7000000000000001,-0.77,2022-09-17,2,0,0
UFC Fight Night: Dern vs. Yan,Mackenzie Dern,Yan Xiaonan,Blue,Women's Strawweight,0,Women,Decision - Majority,5,5.0,300,Chris Tognoni,0,61,151,0.4,224,339,0.66,2,11,0.18,2,2,559,13,5,31.0,162.56,52.16,160.02,Orthodox,3.31,4.09,0.4,0.15,0.51,0.28,1.3,0.79,0,113,195,0.57,151,240,0.63,0,0,0.0,0,0,251,17,3,34.0,165.1,52.16,160.02,Orthodox,5.55,3.56,0.44,0.66,0.61,0.7,0.0,0.86,0,-52,-44,-0.1699999999999999,73,99,0.03,2,11,0.18,2,2,308,-4,2,-3.0,-2.539999999999992,0.0,0.0,-2.24,0.5299999999999998,-0.0399999999999999,-0.51,-0.0999999999999999,-0.4199999999999999,1.3,-0.0699999999999999,2022-10-01,5,4,0
UFC Fight Night: Grasso vs. Araujo,Piera Rodriguez,Sam Hughes,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Jerin Valel,0,83,160,0.51,89,166,0.54,5,11,0.45,0,0,116,9,1,31.0,160.02,52.16,160.02,Orthodox,3.46,2.98,0.46,0.41,0.57,0.66,0.0,3.31,0,69,155,0.44,78,164,0.48,0,1,0.0,0,0,30,8,6,31.0,165.1,52.16,162.56,Orthodox,4.03,4.51,0.45,0.3,0.56,0.57,0.0,0.96,0,14,5,0.07,11,2,0.06,5,10,0.45,0,0,86,1,-5,0.0,-5.079999999999984,0.0,-2.539999999999992,-0.5700000000000003,-1.5299999999999998,0.01,0.1099999999999999,0.0099999999999998,0.09,0.0,2.35,2022-10-15,0,0,0
UFC Fight Night: Rodriguez vs. Lemos,Polyana Viana,Jinh Yu Frey,Red,Women's Strawweight,0,Women,KO/TKO,1,3.0,47,Herb Dean,1,11,18,0.61,11,18,0.61,0,0,0.0,0,0,0,13,7,31.0,165.1,52.16,170.18,Orthodox,2.99,2.65,0.4,0.33,0.53,0.38,1.9,0.82,0,6,14,0.42,6,14,0.43,0,0,0.0,0,0,0,11,10,38.0,160.02,52.16,165.1,Southpaw,2.97,4.23,0.43,0.36,0.52,0.9,0.3,1.02,1,5,4,0.19,5,4,0.18,0,0,0.0,0,0,0,2,-3,-7.0,5.079999999999984,0.0,5.0800000000000125,0.02,-1.5800000000000003,-0.0299999999999999,-0.0299999999999999,0.01,-0.52,1.6,-0.2,2022-11-05,4,1,0
UFC Fight Night: Rodriguez vs. Lemos,Marina Rodriguez,Amanda Lemos,Blue,Women's Strawweight,0,Women,KO/TKO,3,5.0,54,Jason Herzog,0,19,52,0.36,44,78,0.56,0,0,0.0,0,0,15,17,3,36.0,167.64,52.16,165.1,Orthodox,4.77,2.89,0.48,0.42,0.56,0.66,0.2,0.25,0,29,53,0.54,43,67,0.64,1,2,0.5,1,0,186,14,3,36.0,162.56,52.16,165.1,Southpaw,3.43,4.21,0.54,0.63,0.44,0.57,0.7,0.98,0,-10,-1,-0.18,1,11,-0.0799999999999999,-1,-2,-0.5,-1,0,-171,3,0,0.0,5.079999999999984,0.0,0.0,1.3399999999999994,-1.3199999999999998,-0.06,-0.21,0.12,0.09,-0.4999999999999999,-0.73,2022-11-05,3,2,1
UFC 281: Adesanya vs. Pereira,Karolina Kowalkiewicz,Silvana Gomez Juarez,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Marc Goddard,0,74,202,0.36,90,230,0.39,2,2,1.0,0,0,243,16,7,38.0,160.02,52.16,162.56,Orthodox,5.92,5.55,0.43,0.26,0.59,0.74,0.2,0.36,0,77,263,0.29,79,267,0.3,0,0,0.0,0,0,10,11,5,39.0,160.02,52.16,165.1,Orthodox,4.26,4.04,0.32,0.0,0.61,0.3,0.0,0.0,0,-3,-61,0.07,11,-37,0.09,2,2,1.0,0,0,233,5,2,-1.0,0.0,0.0,-2.539999999999992,1.66,1.5099999999999998,0.1099999999999999,0.26,-0.02,0.44,0.2,0.36,2022-11-12,10,0,0
UFC Fight Night: Nzechukwu vs. Cutelaba,Vanessa Demopoulos,Maria Oliveira,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Keith Peterson,1,55,80,0.68,121,154,0.79,2,4,0.5,0,0,479,10,5,35.0,157.48,52.16,149.86,Orthodox,3.44,5.06,0.43,0.13,0.43,0.3,0.7,0.49,0,83,154,0.53,95,166,0.57,0,0,0.0,0,0,1,13,7,27.0,167.64,52.16,175.26,Orthodox,5.03,5.76,0.38,0.44,0.44,0.47,0.0,0.95,1,-28,-74,0.15,26,-12,0.22,2,4,0.5,0,0,478,-3,-2,8.0,-10.159999999999997,0.0,-25.399999999999977,-1.5900000000000003,-0.7000000000000002,0.0499999999999999,-0.31,-0.01,-0.1699999999999999,0.7,-0.4599999999999999,2022-11-19,0,0,1
UFC Fight Night: Thompson vs. Holland,Angela Hill,Emily Ducote,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Andrew Glenn,0,182,345,0.52,190,353,0.54,0,0,0.0,0,0,0,16,13,39.0,160.02,52.16,162.56,Orthodox,5.44,4.94,0.5,0.34,0.61,0.75,0.1,0.73,0,71,173,0.41,76,178,0.43,0,2,0.0,0,0,0,13,8,30.0,157.48,52.16,160.02,Orthodox,6.93,7.98,0.48,0.14,0.56,0.92,0.0,0.25,0,111,172,0.11,114,175,0.11,0,-2,0.0,0,0,0,3,5,9.0,2.5400000000000205,0.0,2.539999999999992,-1.489999999999999,-3.04,0.02,0.2,0.0499999999999999,-0.17,0.1,0.48,2022-12-03,16,0,1
UFC Fight Night: Thompson vs. Holland,Yazmin Jauregui,Istela Nunes,Red,Women's Strawweight,0,Women,KO/TKO,2,3.0,246,Keith Peterson,2,67,154,0.43,103,200,0.52,0,3,0.0,0,0,170,11,1,25.0,160.02,52.16,162.56,Orthodox,6.26,5.12,0.38,0.0,0.55,1.0,0.0,0.0,1,36,60,0.6,39,63,0.62,0,0,0.0,0,0,15,6,5,31.0,162.56,52.16,167.64,Orthodox,5.02,4.84,0.45,0.0,0.6,0.5,0.0,0.0,1,31,94,-0.1699999999999999,64,137,-0.0999999999999999,0,3,0.0,0,0,155,5,-4,-6.0,-2.539999999999992,0.0,-5.079999999999984,1.2400000000000002,0.2800000000000002,-0.07,0.0,-0.0499999999999999,0.5,0.0,0.0,2022-12-03,0,0,1
UFC Fight Night: Cannonier vs. Strickland,Cheyanne Vlismas,Cory McKenna,Blue,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,33,74,0.44,66,113,0.58,0,0,0.0,1,0,3,7,3,28.0,160.02,52.16,160.02,Switch,4.93,2.57,0.5,0.33,0.64,0.66,0.2,0.25,0,22,81,0.27,103,216,0.48,2,3,0.66,0,0,581,8,3,24.0,160.02,52.16,147.32,Orthodox,3.0,3.19,0.4,0.58,0.48,0.71,0.4,2.22,0,11,-7,0.1699999999999999,-37,-103,0.0999999999999999,-2,-3,-0.66,1,0,-578,-1,0,4.0,0.0,0.0,12.700000000000015,1.9299999999999995,-0.6200000000000001,0.0999999999999999,-0.2499999999999999,0.16,-0.0499999999999999,-0.2,-1.97,2022-12-17,0,0,1
UFC 284: Makhachev vs. Volkanovski,Loma Lookboonmee,Elise Reed,Red,Women's Strawweight,0,Women,Submission,2,3.0,44,Steve Perceval,0,17,27,0.62,22,34,0.65,2,3,0.66,1,0,36,9,3,28.0,154.94,52.16,154.94,Orthodox,4.1,2.48,0.57,0.5,0.53,0.72,0.1,1.9,0,17,29,0.58,41,60,0.68,0,0,0.0,0,1,119,7,4,31.0,160.02,52.16,160.02,Orthodox,2.66,3.06,0.49,0.6,0.52,0.42,0.0,0.58,0,0,-2,0.04,-19,-26,-0.03,2,3,0.66,1,-1,-83,2,-1,-3.0,-5.0800000000000125,0.0,-5.0800000000000125,1.4399999999999995,-0.5800000000000001,0.0799999999999999,-0.0999999999999999,0.01,0.3,0.1,1.3199999999999998,2023-02-11,2,0,0
UFC 285: Jones vs. Gane,Jessica Penne,Tabatha Ricci,Blue,Women's Strawweight,0,Women,Submission,2,3.0,134,Jason Herzog,0,6,25,0.24,19,44,0.43,0,1,0.0,0,0,0,14,8,41.0,165.1,52.16,170.18,Orthodox,2.52,4.75,0.31,0.21,0.46,0.36,0.6,1.32,0,36,54,0.66,81,109,0.74,4,5,0.8,1,0,314,9,2,29.0,154.94,52.16,154.94,Orthodox,4.41,4.86,0.37,0.41,0.59,0.71,0.2,3.39,0,-30,-29,-0.42,-62,-65,-0.31,-4,-4,-0.8,-1,0,-314,5,6,12.0,10.159999999999997,0.0,15.240000000000007,-1.89,-0.1100000000000003,-0.06,-0.1999999999999999,-0.1299999999999999,-0.35,0.3999999999999999,-2.0700000000000003,2023-03-04,0,3,1
UFC 287: Pereira vs. Adesanya 2,Jaqueline Amorim,Sam Hughes,Blue,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Andrew Glenn,0,12,52,0.23,52,109,0.48,2,10,0.2,3,0,222,8,1,28.0,160.02,52.16,172.72,Orthodox,3.33,1.85,0.52,0.23,0.62,0.0,5.4,1.48,0,46,104,0.44,107,176,0.61,1,1,1.0,0,1,422,8,6,31.0,165.1,52.16,162.56,Orthodox,4.03,4.51,0.45,0.3,0.56,0.57,0.0,0.96,0,-34,-52,-0.21,-55,-67,-0.13,1,9,-0.8,3,-1,-200,0,-5,-3.0,-5.079999999999984,0.0,10.159999999999997,-0.7000000000000002,-2.6599999999999997,0.07,-0.0699999999999999,0.0599999999999999,-0.57,5.4,0.52,2023-04-08,0,0,0
UFC 287: Pereira vs. Adesanya 2,Michelle Waterson-Gomez,Luana Pinheiro,Blue,Women's Strawweight,0,Women,Decision - Split,3,3.0,300,Larry Folsom,0,61,188,0.32,70,199,0.35,1,2,0.5,0,0,61,18,12,38.0,160.02,52.16,157.48,Orthodox,3.56,4.19,0.46,0.32,0.49,0.7,0.7,1.42,0,44,122,0.36,48,132,0.36,0,5,0.0,0,0,85,11,2,31.0,157.48,52.16,157.48,Orthodox,3.89,4.38,0.41,0.4,0.62,0.66,0.3,2.36,0,17,66,-0.0399999999999999,22,67,-0.01,1,-3,0.5,0,0,-24,7,10,7.0,2.5400000000000205,0.0,0.0,-0.33,-0.1899999999999995,0.05,-0.08,-0.13,0.0399999999999999,0.3999999999999999,-0.94,2023-04-08,10,0,1
UFC 287: Pereira vs. Adesanya 2,Cynthia Calvillo,Loopy Godinez,Blue,Women's Strawweight,0,Women,Decision - Split,3,3.0,300,Larry Folsom,0,104,333,0.31,107,338,0.32,1,2,0.5,0,0,75,9,6,36.0,162.56,52.16,162.56,Orthodox,4.41,4.12,0.38,0.44,0.64,0.77,0.8,1.8,0,87,180,0.48,93,188,0.49,0,2,0.0,0,0,1,12,3,30.0,157.48,52.16,154.94,Orthodox,4.31,3.76,0.49,0.46,0.62,0.86,1.1,3.39,0,17,153,-0.1699999999999999,14,150,-0.1699999999999999,1,0,0.5,0,0,74,-3,3,6.0,5.0800000000000125,0.0,7.6200000000000045,0.1000000000000005,0.3600000000000003,-0.1099999999999999,-0.02,0.02,-0.0899999999999999,-0.3,-1.59,2023-04-08,0,6,0
UFC Fight Night: Holloway vs. Allen,Bruna Brasil,Denise Gomes,Blue,Women's Strawweight,0,Women,KO/TKO,2,3.0,162,Dwayne Bess,0,15,22,0.68,43,50,0.86,0,1,0.0,0,0,79,9,4,30.0,167.64,52.16,165.1,Orthodox,2.94,3.92,0.62,0.62,0.51,0.53,0.0,1.59,1,54,93,0.58,94,133,0.71,3,3,1.0,0,0,233,8,3,24.0,157.48,52.16,160.02,Orthodox,4.81,3.66,0.48,0.33,0.49,0.47,0.8,1.13,-1,-39,-71,0.1,-51,-83,0.15,-3,-2,-1.0,0,0,-154,1,1,6.0,10.159999999999997,0.0,5.079999999999984,-1.8699999999999997,0.2599999999999998,0.14,0.29,0.02,0.06,-0.8,0.4600000000000002,2023-04-15,0,0,1
UFC Fight Night: Holloway vs. Allen,Gillian Robertson,Piera Rodriguez,Red,Women's Strawweight,0,Women,Submission,2,3.0,261,Keith Peterson,0,26,39,0.66,46,62,0.74,2,3,0.66,1,0,383,13,8,28.0,165.1,52.16,160.02,Orthodox,2.61,3.12,0.46,0.43,0.56,0.43,1.0,2.53,0,12,33,0.36,25,47,0.53,1,1,1.0,0,0,54,9,1,31.0,160.02,52.16,160.02,Orthodox,3.46,2.98,0.46,0.41,0.57,0.66,0.0,3.31,0,14,6,0.3,21,15,0.2099999999999999,1,2,-0.3399999999999999,1,0,329,4,7,-3.0,5.079999999999984,0.0,0.0,-0.8500000000000001,0.1400000000000001,0.0,0.02,-0.0099999999999998,-0.23,1.0,-0.7800000000000002,2023-04-15,0,0,1
UFC 288: Sterling vs. Cejudo,Marina Rodriguez,Virna Jandiroba,Blue,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Vitor Ribeiro,0,33,62,0.53,115,150,0.77,0,0,0.0,0,0,5,17,3,36.0,167.64,52.16,165.1,Orthodox,4.77,2.89,0.48,0.42,0.56,0.66,0.2,0.25,0,27,43,0.62,91,116,0.78,3,7,0.42,0,1,722,19,3,35.0,160.02,52.16,162.56,Orthodox,2.34,3.03,0.4,0.39,0.56,0.73,1.0,2.42,0,6,19,-0.0899999999999999,24,34,-0.01,-3,-7,-0.42,0,-1,-717,-2,0,1.0,7.619999999999976,0.0,2.539999999999992,2.4299999999999997,-0.1399999999999996,0.0799999999999999,0.0299999999999999,0.0,-0.0699999999999999,-0.8,-2.17,2023-05-06,3,3,0
UFC 288: Sterling vs. Cejudo,Jessica Andrade,Yan Xiaonan,Blue,Women's Strawweight,0,Women,KO/TKO,1,3.0,140,Vitor Ribeiro,0,12,32,0.37,12,32,0.38,0,0,0.0,0,0,0,25,12,32.0,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,1,26,36,0.72,26,36,0.72,0,0,0.0,0,0,2,17,3,34.0,165.1,52.16,160.02,Orthodox,5.55,3.56,0.44,0.66,0.61,0.7,0.0,0.86,-1,-14,-4,-0.35,-14,-4,-0.3399999999999999,0,0,0.0,0,0,-2,8,9,-2.0,-10.159999999999997,0.0,-2.5400000000000205,1.12,1.8000000000000005,0.06,-0.12,-0.0699999999999999,0.02,0.4,1.5900000000000003,2023-05-06,7,5,1
UFC Fight Night: Dern vs. Hill,Mackenzie Dern,Angela Hill,Red,Women's Strawweight,0,Women,Decision - Unanimous,5,5.0,300,Jason Herzog,1,126,210,0.6,247,340,0.73,3,9,0.33,0,0,792,13,5,31.0,162.56,52.16,160.02,Orthodox,3.31,4.09,0.4,0.15,0.51,0.28,1.3,0.79,0,66,108,0.61,94,142,0.66,0,0,0.0,0,0,431,16,13,39.0,160.02,52.16,162.56,Orthodox,5.44,4.94,0.5,0.34,0.61,0.75,0.1,0.73,1,60,102,-0.01,153,198,0.0699999999999999,3,9,0.33,0,0,361,-3,-8,-8.0,2.539999999999992,0.0,-2.539999999999992,-2.1300000000000003,-0.8500000000000005,-0.0999999999999999,-0.19,-0.0999999999999999,-0.47,1.2,0.06,2023-05-20,4,16,1
UFC Fight Night: Dern vs. Hill,Karolina Kowalkiewicz,Vanessa Demopoulos,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,139,237,0.58,148,249,0.59,0,0,0.0,0,0,112,16,7,38.0,160.02,52.16,162.56,Orthodox,5.92,5.55,0.43,0.26,0.59,0.74,0.2,0.36,0,68,221,0.3,83,237,0.35,0,4,0.0,0,0,0,10,5,35.0,157.48,52.16,149.86,Orthodox,3.44,5.06,0.43,0.13,0.43,0.3,0.7,0.49,0,71,16,0.2799999999999999,65,12,0.24,0,-4,0.0,0,0,112,6,2,3.0,2.5400000000000205,0.0,12.699999999999989,2.48,0.4900000000000002,0.0,0.13,0.1599999999999999,0.44,-0.4999999999999999,-0.13,2023-05-20,10,0,0
UFC Fight Night: Kara-France vs. Albazi,Elise Reed,Jinh Yu Frey,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Mark Smith,0,53,120,0.44,94,174,0.54,0,1,0.0,0,0,89,7,4,31.0,160.02,52.16,160.02,Orthodox,2.66,3.06,0.49,0.6,0.52,0.42,0.0,0.58,0,28,91,0.3,42,114,0.37,3,7,0.42,0,0,249,11,10,38.0,160.02,52.16,165.1,Southpaw,2.97,4.23,0.43,0.36,0.52,0.9,0.3,1.02,0,25,29,0.14,52,60,0.17,-3,-6,-0.42,0,0,-160,-4,-6,-7.0,0.0,0.0,-5.079999999999984,-0.31,-1.1700000000000004,0.06,0.24,0.0,-0.48,-0.3,-0.44,2023-06-03,0,1,1
UFC 289: Nunes vs. Aldana,Diana Belbita,Maria Oliveira,Red,Women's Strawweight,0,Women,Decision - Unanimous,3,3.0,300,Phil Koldyk,0,106,208,0.5,154,258,0.6,1,2,0.5,0,0,124,15,9,27.0,170.18,52.16,172.72,Orthodox,6.54,6.55,0.42,0.62,0.51,0.65,0.0,0.91,0,64,168,0.38,85,200,0.42,2,5,0.4,0,0,246,13,7,27.0,167.64,52.16,175.26,Orthodox,5.03,5.76,0.38,0.44,0.44,0.47,0.0,0.95,0,42,40,0.12,69,58,0.18,-1,-3,0.0999999999999999,0,0,-122,2,2,0.0,2.5400000000000205,0.0,-2.539999999999992,1.5099999999999998,0.79,0.0399999999999999,0.18,0.07,0.18,0.0,-0.0399999999999999,2023-06-10,0,0,1
